DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
10/10/18	08:04:36 AM	17.653					
10/10/18	09:04:36 AM	16.654					
10/10/18	10:04:36 AM	16.915					
10/10/18	11:04:36 AM	17.415					
10/10/18	12:04:36 PM	17.605					
10/10/18	01:04:36 PM	7.619					
10/10/18	02:04:36 PM	7.167					
10/10/18	03:04:36 PM	6.661					
10/10/18	04:04:36 PM	6.509					
10/10/18	05:04:36 PM	6.408					
10/10/18	06:04:36 PM	6.077					
10/10/18	07:04:36 PM	6.128					
10/10/18	08:04:36 PM	6.153					
10/10/18	09:04:36 PM	6.306					
10/10/18	10:04:36 PM	6.408					
10/10/18	11:04:36 PM	6.712					
10/11/18	12:04:36 AM	6.864					
10/11/18	01:04:36 AM	6.864					
10/11/18	02:04:36 AM	6.839					
10/11/18	03:04:36 AM	6.712					
10/11/18	04:04:36 AM	6.712					
10/11/18	05:04:36 AM	6.331					
10/11/18	06:04:36 AM	6.077					
10/11/18	07:04:36 AM	6.128					
10/11/18	08:04:36 AM	6.179					
10/11/18	09:04:36 AM	6.357					
10/11/18	10:04:36 AM	6.357					
10/11/18	11:04:36 AM	5.257					
10/11/18	12:04:36 PM	5.565					
10/11/18	01:04:36 PM	6.000					
10/11/18	02:04:36 PM	6.712					
10/11/18	03:04:36 PM	6.712					
10/11/18	04:04:36 PM	6.763					
10/11/18	05:04:36 PM	6.687					
10/11/18	06:04:36 PM	6.281					
10/11/18	07:04:36 PM	6.128					
10/11/18	08:04:36 PM	6.077					
10/11/18	09:04:36 PM	6.153					
10/11/18	10:04:36 PM	6.611					
10/11/18	11:04:36 PM	6.611					
10/12/18	12:04:36 AM	6.687					
10/12/18	01:04:36 AM	6.687					
10/12/18	02:04:36 AM	6.737					
10/12/18	03:04:36 AM	6.737					
10/12/18	04:04:36 AM	6.737					
10/12/18	05:04:36 AM	6.687					
10/12/18	06:04:36 AM	6.357					
10/12/18	07:04:36 AM	6.153					
10/12/18	08:04:36 AM	5.231					
10/12/18	09:04:36 AM	5.102					
10/12/18	10:04:36 AM	5.257					
10/12/18	11:04:36 AM	5.693					
10/12/18	12:04:36 PM	6.990					
10/12/18	01:04:36 PM	7.419					
10/12/18	02:04:36 PM	7.519					
10/12/18	03:04:36 PM	7.695					
10/12/18	04:04:36 PM	7.469					
10/12/18	05:04:36 PM	7.619					
10/12/18	06:04:36 PM	7.268					
10/12/18	07:04:36 PM	7.268					
10/12/18	08:04:36 PM	7.368					
10/12/18	09:04:36 PM	7.293					
10/12/18	10:04:36 PM	7.268					
10/12/18	11:04:36 PM	6.990					
10/13/18	12:04:36 AM	7.116					
