Date Time	Temperature  (*C)
07/14/11 	08:15:56.0	16.03
07/14/11 	09:15:56.0	14.14
07/14/11 	10:15:56.0	14.29
07/14/11 	11:15:56.0	14.29
07/14/11 	12:15:56.0	14.14
07/14/11 	13:15:56.0	16.03
07/14/11 	14:15:56.0	14.92
07/14/11 	15:15:56.0	15.24
07/14/11 	16:15:56.0	17.14
07/14/11 	17:15:56.0	16.98
07/14/11 	18:15:56.0	16.19
07/14/11 	19:15:56.0	16.19
07/14/11 	20:15:56.0	15.72
07/14/11 	21:15:56.0	15.24
07/14/11 	22:15:56.0	14.29
07/14/11 	23:15:56.0	14.14
07/15/11 	00:15:56.0	13.37
07/15/11 	01:15:56.0	12.91
07/15/11 	02:15:56.0	12.91
07/15/11 	03:15:56.0	12.44
07/15/11 	04:15:56.0	12.28
07/15/11 	05:15:56.0	12.44
07/15/11 	06:15:56.0	12.91
07/15/11 	07:15:56.0	14.14
07/15/11 	08:15:56.0	13.83
