Date Time,Temperature  (*C),Temperature  (*F)
07/10/13 10:34:18.0,22.24,72.05
07/10/13 11:34:18.0,16.53,61.77
07/10/13 12:34:18.0,16.85,62.34
07/10/13 13:34:18.0,17.17,62.92
07/10/13 14:34:18.0,18.29,64.94
07/10/13 15:34:18.0,5.28,41.52
07/10/13 16:34:18.0,5.28,41.52
07/10/13 17:34:18.0,5.13,41.24
07/10/13 18:34:18.0,5.28,41.52
07/10/13 19:34:18.0,5.13,41.24
07/10/13 20:34:18.0,5.28,41.52
07/10/13 21:34:18.0,5.28,41.52
07/10/13 22:34:18.0,5.44,41.80
07/10/13 23:34:18.0,5.44,41.80
07/11/13 00:34:18.0,5.59,42.08
07/11/13 01:34:18.0,5.44,41.80
07/11/13 02:34:18.0,5.28,41.52
07/11/13 03:34:18.0,5.13,41.24
07/11/13 04:34:18.0,5.28,41.52
07/11/13 05:34:18.0,5.28,41.52
07/11/13 06:34:18.0,5.44,41.80
07/11/13 07:34:18.0,5.28,41.52
07/11/13 08:34:18.0,5.28,41.52
07/11/13 09:34:18.0,5.28,41.52
07/11/13 10:34:18.0,5.44,41.80
07/11/13 11:34:18.0,12.76,54.97
07/11/13 12:34:18.0,13.53,56.37
07/11/13 13:34:18.0,5.13,41.24
07/11/13 14:34:18.0,5.13,41.24
07/11/13 15:34:18.0,5.13,41.24
07/11/13 16:34:18.0,5.13,41.24
07/11/13 17:34:18.0,5.13,41.24
07/11/13 18:34:18.0,5.13,41.24
07/11/13 19:34:18.0,5.13,41.24
07/11/13 20:34:18.0,5.13,41.24
07/11/13 21:34:18.0,5.13,41.24
07/11/13 22:34:18.0,5.13,41.24
07/11/13 23:34:18.0,5.13,41.24
07/12/13 00:34:18.0,5.13,41.24
07/12/13 01:34:18.0,5.13,41.24
07/12/13 02:34:18.0,5.13,41.24
07/12/13 03:34:18.0,5.13,41.24
07/12/13 04:34:18.0,5.13,41.24
07/12/13 05:34:18.0,5.13,41.24
07/12/13 06:34:18.0,5.13,41.24
07/12/13 07:34:18.0,10.27,50.49
07/12/13 08:34:18.0,11.97,53.56
07/12/13 09:34:18.0,11.97,53.56
07/12/13 10:34:18.0,12.28,54.12
07/12/13 11:34:18.0,12.60,54.69
07/12/13 12:34:18.0,12.76,54.97
07/12/13 13:34:18.0,12.76,54.97
07/12/13 14:34:18.0,12.76,54.97
