Date Time,Temperature  (*C),Temperature  (*F)
07/16/13 10:36:55.0,4.99,41.00
07/16/13 11:36:55.0,5.15,41.28
07/16/13 12:36:55.0,20.21,68.38
07/16/13 13:36:55.0,5.93,42.68
07/16/13 14:36:55.0,5.15,41.28
07/16/13 15:36:55.0,5.15,41.28
07/16/13 16:36:55.0,5.15,41.28
07/16/13 17:36:55.0,5.15,41.28
07/16/13 18:36:55.0,5.15,41.28
07/16/13 19:36:55.0,5.15,41.28
07/16/13 20:36:55.0,5.15,41.28
07/16/13 21:36:55.0,5.15,41.28
07/16/13 22:36:55.0,5.15,41.28
07/16/13 23:36:55.0,5.15,41.28
07/17/13 00:36:55.0,5.15,41.28
07/17/13 01:36:55.0,5.15,41.28
07/17/13 02:36:55.0,5.15,41.28
07/17/13 03:36:55.0,5.15,41.28
07/17/13 04:36:55.0,5.15,41.28
07/17/13 05:36:55.0,5.15,41.28
07/17/13 06:36:55.0,11.66,52.99
07/17/13 07:36:55.0,12.90,55.23
07/17/13 08:36:55.0,12.90,55.23
07/17/13 09:36:55.0,13.21,55.79
07/17/13 10:36:55.0,13.52,56.34
07/17/13 11:36:55.0,15.23,59.43
