"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/18/17	07:15:20 PM	5.616						
07/18/17	08:15:20 PM	5.462						
07/18/17	09:15:20 PM	5.514						
07/18/17	10:15:20 PM	5.539						
07/18/17	11:15:20 PM	5.488						
07/19/17	12:15:20 AM	5.488						
07/19/17	01:15:20 AM	5.539						
07/19/17	02:15:20 AM	5.488						
07/19/17	03:15:20 AM	5.514						
07/19/17	04:15:20 AM	5.385						
07/19/17	05:15:20 AM	5.591						
07/19/17	06:15:20 AM	5.770						
07/19/17	07:15:20 AM	5.668						
07/19/17	08:15:20 AM	13.329						
07/19/17	09:15:20 AM	13.305						
07/19/17	10:15:20 AM	13.425						
07/19/17	11:15:20 AM	13.377						
07/19/17	12:15:20 PM	14.385						
07/19/17	01:15:20 PM	15.055						
07/19/17	02:15:20 PM	14.984						
07/19/17	03:15:20 PM	16.892						
07/19/17	04:10:09 PM				Logged	Logged		
07/19/17	04:10:38 PM						Logged	Logged
