DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
07/18/17	11:23:53 PM	5.924					
07/19/17	12:23:53 AM	5.975					
07/19/17	01:23:53 AM	6.000					
07/19/17	02:23:53 AM	6.026					
07/19/17	03:23:53 AM	6.077					
07/19/17	04:23:53 AM	6.051					
07/19/17	05:23:53 AM	6.077					
07/19/17	06:23:53 AM	6.153					
07/19/17	07:23:53 AM	12.968					
07/19/17	08:23:53 AM	13.161					
07/19/17	09:23:53 AM	13.353					
07/19/17	10:23:53 AM	13.377					
07/19/17	11:23:53 AM	13.112					
07/19/17	12:23:53 PM	14.481					
07/19/17	01:23:53 PM	14.625					
07/19/17	02:23:53 PM	14.266					
07/19/17	03:23:53 PM	16.796					
07/19/17	04:23:53 PM	18.818					
