Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
29.87371	14.56116	0.8220
29.88016	14.55716	0.8190
29.88734	14.55259	0.8220
29.89386	14.54898	0.8221
29.89789	14.54612	0.8282
29.90296	14.54314	0.8281
29.91076	14.53978	0.8282
29.91715	14.53826	0.8252
29.91524	14.54073	0.8282
29.90297	14.54752	0.8252
29.88236	14.55830	0.8221
29.85644	14.57639	0.8282
29.82538	14.60529	0.8252
29.79120	14.64095	0.8221
29.75241	14.68339	0.8161
29.70977	14.72996	0.8161
29.66821	14.77532	0.8101
29.63141	14.81614	0.8102
29.60190	14.85099	0.8162
29.58046	14.87928	0.8101
29.56691	14.90074	0.8071
29.55821	14.91624	0.8193
29.55018	14.92772	0.8162
29.54138	14.93772	0.8163
29.52994	14.94805	0.8253
29.51651	14.95979	0.8284
29.50221	14.97231	0.8315
29.48482	14.98412	0.8284
29.46346	14.99517	0.8285
29.43989	15.00551	0.8346
29.42567	15.01200	0.8345
29.42435	15.00654	0.8285
29.42994	14.99344	0.8345
29.43669	14.97648	0.8286
29.44463	14.95710	0.8256
29.45519	14.93695	0.8225
29.46564	14.91913	0.8195
29.47524	14.90362	0.8135
29.48255	14.89036	0.8226
29.48807	14.87902	0.8135
29.49204	14.86936	0.8105
29.49562	14.86097	0.8135
29.50329	14.85323	0.8105
29.51507	14.84811	0.8105
29.52562	14.84741	0.8166
29.52737	14.85067	0.8197
29.52299	14.85483	0.8257
29.51889	14.85630	0.8258
29.51907	14.85521	0.8288
29.51826	14.85387	0.8319
29.51679	14.85342	0.8258
29.51489	14.85438	0.8319
29.51167	14.85662	0.8228
29.50728	14.85957	0.8228
29.50045	14.86225	0.8259
29.49095	14.86475	0.8259
29.48013	14.86744	0.8259
29.46953	14.87109	0.8260
29.46022	14.87621	0.8229
29.45131	14.88159	0.8199
29.44239	14.88543	0.8229
29.43422	14.88703	0.8229
29.42782	14.88543	0.8169
29.42107	14.88524	0.8170
29.41525	14.88652	0.8139
29.41592	14.88485	0.8200
29.42230	14.87755	0.8170
29.43002	14.86808	0.8170
29.43585	14.85957	0.8200
29.44004	14.85285	0.8231
29.44249	14.84875	0.8261
29.44253	14.84754	0.8262
29.43993	14.84818	0.8352
29.43464	14.84875	0.8323
29.43083	14.84543	0.8323
29.43406	14.83347	0.8353
29.44191	14.81748	0.8262
29.44976	14.80266	0.8293
29.45666	14.78956	0.8263
29.46308	14.77781	0.8233
29.46929	14.76805	0.8263
29.47404	14.75975	0.8203
29.47874	14.75152	0.8233
29.48194	14.74412	0.8204
29.48410	14.73762	0.8174
29.48629	14.73194	0.8204
29.48784	14.72710	0.8234
29.48941	14.72302	0.8174
29.49157	14.71938	0.8235
29.49423	14.71664	0.8205
29.49607	14.71460	0.8235
29.49616	14.71333	0.8236
29.49511	14.71231	0.8266
29.49234	14.71193	0.8327
29.48666	14.71269	0.8327
29.47853	14.71499	0.8327
29.47006	14.71741	0.8358
29.46306	14.71906	0.8358
29.45951	14.71779	0.8298
29.45916	14.71384	0.8237
29.46053	14.71001	0.8268
29.46245	14.70708	0.8268
29.46487	14.70428	0.8268
29.46776	14.70046	0.8268
29.47098	14.69543	0.8269
29.47282	14.69020	0.8268
29.47409	14.68651	0.8238
29.47530	14.68492	0.8179
