Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
27.81962	12.00231	0.9969
27.80958	11.99965	0.9969
27.80179	11.99150	0.9939
27.80384	11.97578	0.9909
27.80499	11.96120	0.9848
27.80992	11.94591	0.9788
27.82079	11.92497	0.9788
27.83086	11.90639	0.9728
27.84176	11.88582	0.9637
27.85021	11.86585	0.9638
27.86005	11.84242	0.9789
27.85839	11.82813	0.9789
27.85416	11.81924	0.9789
27.85883	11.80513	0.9912
27.85869	11.79667	0.9942
27.85739	11.78814	1.0002
27.86150	11.77440	1.0094
27.86647	11.76576	1.0125
27.86893	11.76089	1.0125
27.86456	11.75807	1.0185
27.85929	11.75097	1.0156
27.86002	11.74292	1.0126
27.86517	11.73606	0.9975
27.87173	11.72532	0.9945
27.87070	11.71963	0.9824
27.86880	11.71828	0.9823
27.86885	11.71464	0.9764
27.86981	11.70280	0.9703
27.87450	11.69108	0.9643
27.88212	11.68281	0.9643
27.88809	11.67883	0.9704
27.88622	11.67853	0.9705
27.88211	11.67227	0.9826
27.88223	11.66694	0.9917
27.87876	11.67045	1.0039
27.87344	11.67238	1.0009
27.86680	11.66986	1.0191
27.86171	11.66530	1.0190
27.86040	11.66149	1.0282
27.86345	11.65821	1.0252
27.86413	11.65540	1.0252
27.86076	11.65323	1.0223
27.85770	11.65025	1.0163
27.85732	11.64837	1.0071
27.85727	11.64685	1.0012
27.85712	11.64047	0.9861
27.85712	11.62982	0.9861
27.86202	11.61783	0.9709
27.86692	11.61209	0.9589
27.87377	11.60607	0.9619
27.87964	11.59864	0.9620
27.87991	11.59122	0.9711
27.88185	11.58473	0.9833
27.88467	11.58058	0.9984
27.88395	11.58035	1.0045
27.87837	11.58070	1.0168
27.87725	11.57632	1.0198
27.88202	11.56726	1.0258
27.88490	11.55716	1.0380
27.88307	11.55214	1.0290
27.88325	11.54992	1.0199
27.88859	11.54361	1.0170
27.88854	11.54098	1.0109
27.88273	11.53737	1.0170
27.87706	11.53976	0.9959
27.87586	11.54612	0.9868
27.87698	11.54653	0.9868
27.87875	11.54268	0.9778
27.87874	11.54110	0.9687
27.88081	11.54145	0.9657
27.88354	11.54098	0.9627
27.88473	11.53941	0.9688
27.88397	11.53882	0.9749
27.88197	11.54069	0.9871
27.87988	11.54601	0.9993
27.87498	11.55196	1.0175
27.86739	11.55657	1.0356
27.86109	11.56066	1.0387
27.85646	11.56405	1.0418
27.85335	11.56621	1.0418
27.84703	11.56995	1.0419
27.84352	11.56995	1.0208
27.84350	11.56720	1.0025
27.84584	11.56528	0.9875
