Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
20.37984	12.63406	0.9902
20.40730	12.61723	0.9811
20.41104	12.62276	0.9781
20.38560	12.63027	0.9781
20.35691	12.61362	0.9842
20.37884	12.56905	0.9903
20.43110	12.53348	0.9903
20.45419	12.52928	0.9873
20.46100	12.53000	0.9812
20.46950	12.52460	0.9752
20.46863	12.52064	0.9782
20.43590	12.51819	0.9903
20.40261	12.50171	0.9995
20.43352	12.46619	0.9964
20.48838	12.44507	1.0025
20.50112	12.44621	0.9965
20.49623	12.44268	0.9904
20.49088	12.43616	0.9813
20.49796	12.43263	0.9783
20.50634	12.43406	0.9784
20.49296	12.43921	0.9723
20.42043	12.44172	0.9784
20.34598	12.41947	0.9875
20.37301	12.37550	1.0056
20.45611	12.36386	1.0057
20.47389	12.37156	0.9966
20.46380	12.37807	0.9845
20.40046	12.43993	0.9815
20.37410	12.46763	0.9876
20.37404	12.48577	0.9937
20.38043	12.50105	0.9937
20.38481	12.51663	0.9877
20.38496	12.53401	0.9787
20.38292	12.55111	0.9786
20.37659	12.56671	0.9846
20.36348	12.57770	0.9878
20.35141	12.57914	0.9878
20.35317	12.56839	0.9908
20.36741	12.55057	0.9999
20.39655	12.53407	0.9999
20.41286	12.53144	0.9970
20.41169	12.53965	0.9939
20.40136	12.54583	0.9879
20.39987	12.54085	0.9910
20.41523	12.52838	0.9909
20.42766	12.52172	0.9971
20.42937	12.52544	0.9971
20.42991	12.53180	0.9911
20.43307	12.53803	0.9851
20.42508	12.54649	0.9790
20.41990	12.55465	0.9699
20.40948	12.55921	0.9730
20.38004	12.57458	0.9821
20.35803	12.58394	0.9972
20.37562	12.58106	1.0064
20.39151	12.59079	1.0033
20.39326	12.59746	0.9943
20.39698	12.59794	0.9822
20.36921	12.64170	0.9852
20.32252	12.69960	0.9883
20.29851	12.72184	0.9914
20.28912	12.73245	0.9974
20.28407	12.74879	0.9975
20.29181	12.76635	0.9945
20.28971	12.79195	0.9884
20.28259	12.81086	0.9854
20.26876	12.81817	0.9764
20.23654	12.83993	0.9794
20.20379	12.85681	0.9945
20.18628	12.86074	1.0068
20.20664	12.83588	1.0068
20.23655	12.80880	1.0068
20.25211	12.80470	0.9917
20.26213	12.81019	0.9826
20.26483	12.80989	0.9735
20.25123	12.80029	0.9735
20.21728	12.77873	0.9797
20.23536	12.70701	0.9948
20.30141	12.62197	1.0039
20.33981	12.58971	1.0040
20.35694	12.57350	0.9889
20.37471	12.54649	0.9857
20.37805	12.52094	0.9798
20.35792	12.49931	0.9829
20.33428	12.46829	0.9889
20.34961	12.42438	0.9889
20.39501	12.39414	0.9920
20.38579	12.39049	0.9921
20.33705	12.38924	0.9921
20.32792	12.36917	0.9982
20.37888	12.34614	0.9951
20.42348	12.34113	0.9922
20.42195	12.34309	0.9921
20.39734	12.33916	0.9922
20.38752	12.33105	0.9953
20.40138	12.32264	0.9983
20.41987	12.31864	1.0044
20.44597	12.32073	1.0014
20.47387	12.32490	0.9954
20.49209	12.32437	0.9833
20.48054	12.34041	0.9863
20.42270	12.40274	0.9833
20.37613	12.44405	0.9834
20.35451	12.45781	0.9955
20.33757	12.47248	1.0016
20.33903	12.48008	1.0077
20.36467	12.48122	1.0017
20.37818	12.49530	0.9896
20.37156	12.51663	0.9775
20.34495	12.52724	0.9715
20.31822	12.52478	0.9746
20.29321	12.51441	0.9866
20.28321	12.48481	0.9928
20.30143	12.44148	0.9989
20.34619	12.40830	1.0019
20.37946	12.40304	0.9959
20.38928	12.40943	0.9899
20.39197	12.40531	0.9868
20.37797	12.39682	0.9900
20.34214	12.38709	0.9930
20.31702	12.36989	1.0021
20.34033	12.34280	1.0113
20.40481	12.32622	1.0143
20.42939	12.32467	0.9991
20.42743	12.32914	0.9810
20.36178	12.37437	0.9750
20.30826	12.40346	0.9841
20.26757	12.41117	0.9871
20.26798	12.39449	0.9872
20.28813	12.36786	0.9933
20.31838	12.35121	0.9903
20.33582	12.35503	0.9812
20.31585	12.36923	0.9812
20.28677	12.36905	0.9904
20.28734	12.35342	0.9905
20.29797	12.34572	1.0056
20.31664	12.35103	1.0026
20.33026	12.36314	0.9966
20.33385	12.36983	0.9905
20.32750	12.37252	0.9846
20.31199	12.37723	0.9906
20.30499	12.38464	0.9967
20.30996	12.39217	0.9997
20.31167	12.40149	0.9938
20.31283	12.41087	1.0029
20.31731	12.42061	0.9998
20.32287	12.42922	0.9908
20.33082	12.43556	0.9939
