Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
16.72389	12.41792	0.6620
16.81242	12.41523	0.6620
16.84948	12.40919	0.6711
16.86861	12.39814	0.6831
16.89184	12.38333	0.6832
16.91375	12.36792	0.6953
16.92972	12.35318	0.7105
16.94042	12.34250	0.7226
16.95011	12.33683	0.7195
16.93835	12.33397	0.7256
16.85361	12.33480	0.7287
16.78365	12.34089	0.7226
16.79077	12.34214	0.7166
16.77895	12.35187	0.7075
16.75591	12.38739	0.6894
16.74244	12.43813	0.6802
16.72708	12.48727	0.6711
16.70777	12.52592	0.6652
16.68588	12.55141	0.6622
16.65862	12.56461	0.6561
16.66804	12.56893	0.6531
16.70326	12.56377	0.6531
16.73345	12.55219	0.6560
16.77375	12.53659	0.6622
16.85633	12.50033	0.6682
16.92022	12.45363	0.6803
16.96076	12.41535	0.6955
16.99281	12.38637	0.7015
17.01442	12.36291	0.7106
17.02585	12.34703	0.7167
17.01993	12.33844	0.7227
16.98063	12.33773	0.7228
16.93256	12.34506	0.7196
16.89149	12.34966	0.7168
16.89417	12.34465	0.7137
16.88952	12.33922	0.7047
16.87790	12.35198	0.6925
16.85947	12.38410	0.6805
16.84089	12.42294	0.6683
16.82515	12.45464	0.6563
16.81494	12.47619	0.6502
16.81431	12.48625	0.6563
16.82272	12.48553	0.6503
16.83883	12.48020	0.6531
16.86565	12.47535	0.6594
16.91208	12.46769	0.6624
16.95825	12.44184	0.6774
17.00120	12.41254	0.6866
17.03519	12.38482	0.6956
17.06425	12.36267	0.7047
17.08494	12.34787	0.7169
17.07369	12.33952	0.7290
17.01039	12.33880	0.7200
16.95322	12.34482	0.7260
16.94585	12.34315	0.7230
16.92936	12.34357	0.7169
16.90385	12.36106	0.7018
16.88520	12.39497	0.6929
16.86957	12.43400	0.6838
16.84907	12.47811	0.6716
16.82952	12.51921	0.6685
16.81465	12.55081	0.6595
16.81254	12.57139	0.6595
16.82038	12.57962	0.6566
16.84549	12.57638	0.6565
16.87702	12.56743	0.6565
16.88798	12.55333	0.6655
16.92429	12.52478	0.6718
16.98964	12.48667	0.6777
17.09598	12.45105	0.6929
17.18791	12.42187	0.7021
17.25314	12.39766	0.7141
17.26545	12.38076	0.7233
17.17626	12.37270	0.7232
17.05574	12.37329	0.7263
17.04006	12.37037	0.7232
16.98777	12.36398	0.7173
16.94703	12.37174	0.7111
16.91777	12.39199	0.6960
16.89618	12.42067	0.6840
16.87859	12.44776	0.6809
16.86357	12.47410	0.6717
16.85692	12.49805	0.6628
16.88224	12.51489	0.6658
16.92404	12.52082	0.6537
16.97878	12.51669	0.6628
17.02122	12.50860	0.6628
17.04799	12.49691	0.6719
17.09588	12.48032	0.6780
17.15324	12.45728	0.6870
17.19307	12.43137	0.6962
17.24529	12.40943	0.7023
17.29631	12.39270	0.7083
17.32808	12.38058	0.7113
17.33165	12.37210	0.7144
17.28183	12.36768	0.7144
17.20223	12.36870	0.7176
17.12733	12.37246	0.7144
17.10228	12.37246	0.7054
17.08024	12.36899	0.7054
17.06068	12.37055	0.6993
17.03936	12.38010	0.6902
17.02248	12.39211	0.6872
17.00698	12.40382	0.6843
16.99709	12.41350	0.6782
16.99690	12.42115	0.6690
17.00960	12.42653	0.6661
17.02432	12.42880	0.6661
17.08163	12.42755	0.6692
17.16032	12.42222	0.6753
17.22528	12.41338	0.6782
17.28391	12.40573	0.6812
17.34069	12.39796	0.6934
17.39650	12.38733	0.6995
17.43772	12.37783	0.7056
17.45584	12.37019	0.7115
17.43796	12.36470	0.7147
17.36806	12.36255	0.7085
17.27847	12.36410	0.7086
17.20074	12.36655	0.7117
17.14666	12.36523	0.7057
17.09934	12.36673	0.7026
17.06361	12.37717	0.6935
17.03702	12.39073	0.6874
17.01909	12.40591	0.6876
17.01235	12.42043	0.6815
17.03054	12.43042	0.6754
17.07247	12.43502	0.6724
17.12127	12.43478	0.6755
17.17481	12.43293	0.6694
17.23176	12.43000	0.6724
17.30437	12.42456	0.6786
17.37062	12.41810	0.6817
17.44280	12.41200	0.6876
17.49246	12.40244	0.6906
17.51892	12.39121	0.6968
17.54001	12.38159	0.7059
17.55357	12.37419	0.7088
17.56429	12.36888	0.7151
17.57173	12.36547	0.7119
17.57116	12.36320	0.7180
17.55760	12.36195	0.7150
17.52988	12.36177	0.7060
17.49963	12.36297	0.6968
17.47834	12.36541	0.7030
17.48196	12.36792	0.6878
17.50169	12.36935	0.6787
17.54726	12.36965	0.6697
17.58027	12.36858	0.6758
17.61772	12.36547	0.6666
17.67404	12.36064	0.6636
17.76907	12.35479	0.6696
17.85819	12.34834	0.6818
17.90389	12.34268	0.6880
17.92242	12.33820	0.6848
17.93022	12.33534	0.6939
17.93357	12.33379	0.6970
17.93037	12.33278	0.7092
17.92630	12.33206	0.7123
17.89741	12.33188	0.7123
17.83805	12.33284	0.7153
17.73827	12.33588	0.7123
17.64605	12.33880	0.7124
17.56219	12.33904	0.7032
17.49218	12.34148	0.6942
17.42903	12.34775	0.6882
17.39753	12.35706	0.6790
17.41519	12.36589	0.6820
17.46178	12.37162	0.6730
17.51703	12.37449	0.6730
17.59543	12.37485	0.6761
17.69751	12.37311	0.6761
17.79688	12.36971	0.6730
17.88539	12.36535	0.6821
17.94318	12.35843	0.6821
17.97639	12.34948	0.6912
18.00885	12.34178	0.6942
18.03651	12.33606	0.7035
18.04799	12.33206	0.7095
18.02996	12.32979	0.7125
17.96511	12.32967	0.7127
17.88855	12.33170	0.7096
17.79985	12.33391	0.7096
17.73673	12.33415	0.7035
17.71254	12.33212	0.7004
17.69466	12.33003	0.6883
17.69332	12.32950	0.6853
17.71146	12.33218	0.6764
17.73956	12.33582	0.6824
17.78258	12.33790	0.6824
17.88623	12.33743	0.6823
18.01493	12.33546	0.6793
18.05314	12.33266	0.6854
18.12667	12.32956	0.6825
18.19865	12.32622	0.6793
18.24404	12.32395	0.6854
18.27032	12.32276	0.6916
18.28190	12.32252	0.7038
18.27587	12.32288	0.6977
18.22934	12.32389	0.7007
18.16678	12.32556	0.6977
18.09314	12.32812	0.7007
18.01789	12.32967	0.7038
17.97831	12.32961	0.7037
17.93694	12.32884	0.7008
17.89643	12.32806	0.6918
17.85521	12.32926	0.6977
17.82738	12.33325	0.6888
17.81496	12.33779	0.6857
17.81645	12.34136	0.6917
17.83477	12.34345	0.6796
17.85709	12.34477	0.6857
17.89553	12.34512	0.6797
17.96120	12.34417	0.6827
18.04374	12.34226	0.6858
18.11651	12.34047	0.6889
18.13706	12.33928	0.6918
18.12366	12.33802	0.6918
18.09636	12.33761	0.6950
18.08065	12.33785	0.6858
18.06760	12.33874	0.6858
18.04892	12.33963	0.6949
18.03258	12.34023	0.6980
18.03745	12.34089	0.7010
18.05470	12.34125	0.6980
18.05103	12.34160	0.7042
18.01744	12.34196	0.7072
17.96740	12.34202	0.6981
17.94140	12.34214	0.6951
17.94210	12.34208	0.6981
17.98004	12.34184	0.6921
18.07309	12.34208	0.6862
18.16269	12.34220	0.6922
18.18396	12.34119	0.6951
18.20030	12.33981	0.6953
18.21917	12.33856	0.6892
18.23614	12.33743	0.6890
18.26150	12.33600	0.6922
18.29225	12.33427	0.6862
18.32421	12.33260	0.6891
18.34336	12.33069	0.6801
18.35320	12.32854	0.6892
18.35754	12.32705	0.6923
18.35824	12.32562	0.6984
18.35948	12.32508	0.6983
18.35612	12.32496	0.6923
18.34453	12.32538	0.6984
18.32623	12.32604	0.6985
18.30632	12.32711	0.6984
18.28504	12.32830	0.7015
18.26309	12.32950	0.6954
18.24860	12.33003	0.6924
18.24676	12.33009	0.6865
18.25557	12.33003	0.6894
18.28619	12.33057	0.6834
18.35039	12.33081	0.6863
18.36404	12.33057	0.6865
18.37427	12.32854	0.6865
18.39026	12.32616	0.6865
18.41166	12.32401	0.6896
18.43067	12.32198	0.6895
18.44526	12.32019	0.6897
18.45562	12.31864	0.6956
18.45922	12.31769	0.6927
18.44323	12.31674	0.7047
18.38983	12.31662	0.7018
18.31817	12.31811	0.7017
18.27569	12.31942	0.6957
18.22723	12.31960	0.6896
18.18539	12.32151	0.6866
18.16623	12.32538	0.6897
18.16168	12.32938	0.6897
18.16440	12.33230	0.6928
18.17755	12.33451	0.6865
18.20381	12.33558	0.6988
18.25843	12.33510	0.6928
18.33296	12.33379	0.6959
18.39385	12.33242	0.6928
18.42269	12.33099	0.6989
18.44719	12.32944	0.6990
18.46553	12.32651	0.6989
18.47617	12.32371	0.6989
18.46693	12.32186	0.6989
18.42168	12.32103	0.7050
18.37162	12.32174	0.6959
18.33170	12.32294	0.6899
18.31105	12.32341	0.6838
18.30700	12.32300	0.6809
18.31132	12.32246	0.6778
18.32536	12.32240	0.6778
18.35798	12.32246	0.6808
18.41885	12.32252	0.6809
18.47800	12.32198	0.6840
18.49253	12.32073	0.6962
18.51066	12.31888	0.6992
18.53625	12.31674	0.7052
