Date Time	Temperature  (*C)
06/11/07 	12:08:05.0	10.44
06/11/07 	13:08:05.0	10.91
06/11/07 	14:08:05.0	11.83
06/11/07 	15:08:05.0	10.28
06/11/07 	16:08:05.0	4.24
06/11/07 	17:08:05.0	4.40
06/11/07 	18:08:05.0	4.24
06/11/07 	19:08:05.0	4.24
06/11/07 	20:08:05.0	4.24
06/11/07 	21:08:05.0	4.24
06/11/07 	22:08:05.0	4.24
06/11/07 	23:08:05.0	4.24
06/12/07 	00:08:05.0	4.24
06/12/07 	01:08:05.0	4.24
06/12/07 	02:08:05.0	4.40
06/12/07 	03:08:05.0	4.24
06/12/07 	04:08:05.0	4.24
06/12/07 	05:08:05.0	4.40
06/12/07 	06:08:05.0	4.40
06/12/07 	07:08:05.0	4.24
06/12/07 	08:08:05.0	4.40
06/12/07 	09:08:05.0	4.40
06/12/07 	10:08:05.0	20.23
