DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
10/25/16 09:25:23 AM	16.844					
10/25/16 10:25:23 AM	17.177					
10/25/16 11:25:23 AM	17.130					
10/25/16 12:25:23 PM	17.177					
10/25/16 01:25:23 PM	10.075					
10/25/16 02:25:23 PM	6.763					
10/25/16 03:25:23 PM	6.535					
10/25/16 04:25:23 PM	6.661					
10/25/16 05:25:23 PM	6.712					
10/25/16 06:25:23 PM	6.763					
10/25/16 07:25:23 PM	6.737					
10/25/16 08:25:23 PM	6.839					
10/25/16 09:25:23 PM	7.015					
10/25/16 10:25:23 PM	7.142					
10/25/16 11:25:23 PM	7.217					
10/26/16 12:25:23 AM	7.293					
10/26/16 01:25:23 AM	7.167					
10/26/16 02:25:23 AM	6.813					
10/26/16 03:25:23 AM	6.940					
10/26/16 04:25:23 AM	7.217					
10/26/16 05:25:23 AM	7.192					
10/26/16 06:25:23 AM	7.167					
10/26/16 07:25:23 AM	6.737					
10/26/16 08:25:23 AM	3.433					
10/26/16 09:25:23 AM	4.141					
10/26/16 10:25:23 AM	4.115					
10/26/16 11:25:23 AM	4.662					
10/26/16 12:25:23 PM	4.818					
10/26/16 01:25:23 PM	5.231					
10/26/16 02:25:23 PM	4.921					
10/26/16 03:25:23 PM	6.458					
10/26/16 04:25:23 PM	6.509					
10/26/16 05:25:23 PM	6.560					
10/26/16 06:25:23 PM	6.611					
10/26/16 07:25:23 PM	6.636					
10/26/16 08:25:23 PM	6.737					
10/26/16 09:25:23 PM	6.839					
10/26/16 10:25:23 PM	6.889					
10/26/16 11:25:23 PM	6.914					
10/27/16 12:25:23 AM	6.560					
10/27/16 01:25:23 AM	6.636					
10/27/16 02:25:23 AM	6.813					
10/27/16 03:25:23 AM	6.433					
10/27/16 04:25:23 AM	6.357					
10/27/16 05:25:23 AM	6.382					
10/27/16 06:25:23 AM	6.408					
10/27/16 07:25:23 AM	6.484					
10/27/16 08:25:23 AM	6.636					
10/27/16 09:25:23 AM	6.763					
10/27/16 10:25:23 AM	6.813					
10/27/16 11:25:23 AM	5.462					
10/27/16 12:25:23 PM	5.308					
10/27/16 01:25:23 PM	5.334					
10/27/16 02:25:23 PM	5.539					
10/27/16 03:25:23 PM	7.594					
10/27/16 04:25:23 PM	7.594					
10/27/16 05:25:23 PM	7.594					
10/27/16 06:25:23 PM	7.619					
10/27/16 07:25:23 PM	7.594					
10/27/16 08:25:23 PM	7.619					
10/27/16 09:25:23 PM	7.619					
10/27/16 10:25:23 PM	7.619					
10/27/16 11:25:23 PM	7.619					
10/28/16 12:25:23 AM	7.494					
10/28/16 01:25:23 AM	7.469					
10/28/16 02:25:23 AM	7.594					
10/28/16 03:25:23 AM	7.594					
10/28/16 04:25:23 AM	7.619					
10/28/16 05:25:23 AM	7.569					
10/28/16 06:25:23 AM	7.594					
10/28/16 07:25:23 AM	7.594					
10/28/16 08:25:23 AM	7.594					
10/28/16 09:25:23 AM	6.102					
10/28/16 10:25:23 AM	6.306					
10/28/16 11:25:23 AM	6.535					
10/28/16 12:25:23 PM	6.712					
10/28/16 01:25:23 PM	6.687					
10/28/16 02:25:23 PM	6.560					
10/28/16 03:25:23 PM	6.611					
10/28/16 04:25:23 PM	7.645					
10/28/16 05:25:23 PM	7.645					
10/28/16 06:25:23 PM	7.645					
10/28/16 07:25:23 PM	7.645					
10/28/16 08:25:23 PM	7.645					
10/28/16 09:25:23 PM	7.645					
10/28/16 10:25:23 PM	7.645					
10/28/16 11:25:23 PM	7.645					
10/29/16 12:25:23 AM	7.645					
10/29/16 01:25:23 AM	7.645					
10/29/16 02:25:23 AM	7.645					
10/29/16 03:25:23 AM	7.645					
10/29/16 04:25:23 AM	7.645					
10/29/16 05:25:23 AM	7.645					
10/29/16 06:25:23 AM	7.645					
10/29/16 07:25:23 AM	7.645					
10/29/16 08:25:23 AM	7.645					
10/29/16 09:25:23 AM	7.645					
10/29/16 10:25:23 AM	7.645					
10/29/16 11:25:23 AM	7.645					
