"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
06/26/17	09:38:20 PM	6.255							
06/26/17	10:38:20 PM	6.255							
06/26/17	11:38:20 PM	6.281							
06/27/17	12:38:20 AM	6.128							
06/27/17	01:38:20 AM	6.077							
06/27/17	02:38:20 AM	6.051							
06/27/17	03:38:20 AM	6.051							
06/27/17	04:38:20 AM	6.026							
06/27/17	05:38:20 AM	6.102							
06/27/17	06:38:20 AM	6.102							
06/27/17	07:38:20 AM	6.128							
06/27/17	08:38:20 AM	6.204							
06/27/17	09:38:20 AM	10.761							
06/27/17	10:38:20 AM	10.834							
06/27/17	11:38:20 AM	11.540							
06/27/17	12:38:20 PM	12.364							
06/27/17	01:38:20 PM	6.585							
06/27/17	02:38:20 PM	6.509							
06/27/17	03:38:20 PM	6.484							
06/27/17	04:38:20 PM	6.357							
06/27/17	05:38:20 PM	6.153							
06/27/17	06:38:20 PM	6.153							
06/27/17	07:38:20 PM	6.204							
06/27/17	08:38:20 PM	6.204							
06/27/17	09:38:20 PM	6.204							
06/27/17	10:38:20 PM	6.179							
06/27/17	11:38:20 PM	6.153							
06/28/17	12:38:20 AM	6.077							
06/28/17	01:38:20 AM	6.077							
06/28/17	02:38:20 AM	6.077							
06/28/17	03:38:20 AM	6.153							
06/28/17	04:38:20 AM	6.153							
06/28/17	05:38:20 AM	6.128							
06/28/17	06:38:20 AM	6.128							
06/28/17	07:38:20 AM	6.230							
06/28/17	08:38:20 AM	6.255							
06/28/17	09:38:20 AM	6.255							
06/28/17	10:38:20 AM	13.353							
06/28/17	11:38:20 AM	13.377							
06/28/17	12:16:11 PM					Logged	Logged		
06/28/17	12:16:20 PM							Logged	Logged
