"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/18/17	07:14:41 PM	5.591						
07/18/17	08:14:41 PM	5.616						
07/18/17	09:14:41 PM	5.488						
07/18/17	10:14:41 PM	5.539						
07/18/17	11:14:41 PM	5.745						
07/19/17	12:14:41 AM	5.642						
07/19/17	01:14:41 AM	5.796						
07/19/17	02:14:41 AM	5.898						
07/19/17	03:14:41 AM	5.949						
07/19/17	04:14:41 AM	6.000						
07/19/17	05:14:41 AM	5.898						
07/19/17	06:14:41 AM	6.077						
07/19/17	07:14:41 AM	5.668						
07/19/17	08:14:41 AM	5.565						
07/19/17	09:14:41 AM	5.539						
07/19/17	10:14:41 AM	5.565						
07/19/17	11:14:41 AM	13.810						
07/19/17	12:14:41 PM	13.906						
07/19/17	01:14:41 PM	14.697						
07/19/17	02:14:41 PM	14.649						
07/19/17	02:53:55 PM				Logged			
07/19/17	02:53:56 PM					Logged		
07/19/17	02:54:41 PM			Logged				
07/19/17	02:54:52 PM				Logged			
07/19/17	02:54:53 PM			Logged				
07/19/17	02:55:02 PM				Logged			
07/19/17	02:55:07 PM					Logged		
07/19/17	02:57:44 PM			Logged				
07/19/17	03:14:41 PM	19.365						
07/19/17	03:17:37 PM				Logged	Logged		
07/19/17	03:18:00 PM						Logged	Logged
