"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/25/17	11:15:33 AM	19.888	Logged						
07/25/17	11:15:36 AM			Logged					
07/25/17	12:15:33 PM	13.305			Logged				
07/25/17	01:15:33 PM	13.690							
07/25/17	02:15:33 PM	14.290							
07/25/17	03:15:33 PM	17.677							
07/25/17	04:15:33 PM	6.813							
07/25/17	05:15:33 PM	6.788							
07/25/17	06:15:33 PM	6.737							
07/25/17	07:15:33 PM	6.661							
07/25/17	08:15:33 PM	6.737							
07/25/17	09:15:33 PM	6.560							
07/25/17	10:15:33 PM	6.611							
07/25/17	11:15:33 PM	6.712							
07/26/17	12:15:33 AM	6.763							
07/26/17	01:15:33 AM	6.839							
07/26/17	02:15:33 AM	6.813							
07/26/17	03:15:33 AM	6.813							
07/26/17	04:15:33 AM	6.839							
07/26/17	05:15:33 AM	6.737							
07/26/17	06:15:33 AM	6.737							
07/26/17	07:15:33 AM	6.687							
07/26/17	08:15:33 AM	6.763							
07/26/17	09:15:33 AM	6.712							
07/26/17	10:15:33 AM	6.712							
07/26/17	11:15:33 AM	9.410							
07/26/17	12:15:33 PM	13.449							
07/26/17	01:15:33 PM	13.738							
07/26/17	02:15:33 PM	7.242							
07/26/17	03:15:33 PM	7.242							
07/26/17	04:15:33 PM	7.192							
07/26/17	05:15:33 PM	7.242							
07/26/17	06:15:33 PM	7.318							
07/26/17	07:15:33 PM	7.494							
07/26/17	08:15:33 PM	7.745							
07/26/17	09:15:33 PM	7.695							
07/26/17	10:15:33 PM	7.895							
07/26/17	11:15:33 PM	7.368							
07/27/17	12:15:33 AM	7.293							
07/27/17	01:15:33 AM	7.293							
07/27/17	02:15:33 AM	7.268							
07/27/17	03:15:33 AM	7.217							
07/27/17	04:15:33 AM	7.192							
07/27/17	05:15:33 AM	7.192							
07/27/17	06:15:33 AM	7.268							
07/27/17	07:15:33 AM	7.393							
07/27/17	08:15:33 AM	13.305							
07/27/17	09:15:33 AM	12.727							
07/27/17	10:15:33 AM	11.589							
07/27/17	11:15:33 AM	11.734							
07/27/17	12:15:33 PM	11.248							
07/27/17	01:15:33 PM	12.098							
07/27/17	02:15:33 PM	13.016							
07/27/17	03:15:33 PM	14.601							
07/27/17	04:15:33 PM	6.585							
07/27/17	05:15:33 PM	6.585							
07/27/17	06:15:33 PM	6.611							
07/27/17	07:15:33 PM	6.535							
07/27/17	08:15:33 PM	6.535							
07/27/17	09:15:33 PM	6.535							
07/27/17	10:15:33 PM	6.535							
07/27/17	11:15:33 PM	6.560							
07/28/17	12:15:33 AM	6.509							
07/28/17	01:15:33 AM	6.560							
07/28/17	02:15:33 AM	6.560							
07/28/17	03:15:33 AM	6.661							
07/28/17	04:15:33 AM	6.687							
07/28/17	05:15:33 AM	6.611							
07/28/17	06:15:33 AM	6.560							
07/28/17	07:15:33 AM	6.585							
07/28/17	08:15:33 AM	6.611							
07/28/17	09:15:33 AM	6.509							
07/28/17	10:15:33 AM	6.458							
07/28/17	11:15:33 AM	6.458							
07/28/17	12:15:33 PM	14.864							
07/28/17	01:15:33 PM	14.673							
07/28/17	02:15:33 PM	6.433							
07/28/17	03:15:33 PM	6.433							
07/28/17	04:15:33 PM	6.433							
07/28/17	05:15:33 PM	6.458							
07/28/17	06:15:33 PM	6.458							
07/28/17	07:15:33 PM	6.484							
07/28/17	08:15:33 PM	6.458							
07/28/17	09:15:33 PM	6.458							
07/28/17	10:15:33 PM	6.458							
07/28/17	11:15:33 PM	6.433							
07/29/17	12:15:33 AM	6.433							
07/29/17	01:15:33 AM	6.433							
07/29/17	02:15:33 AM	6.433							
07/29/17	03:15:33 AM	6.458							
07/29/17	04:15:33 AM	6.458							
07/29/17	05:15:33 AM	6.458							
07/29/17	06:15:33 AM	6.484							
07/29/17	07:15:33 AM	6.484							
07/29/17	08:15:33 AM	11.856							
07/29/17	09:15:33 AM	11.953							
07/29/17	10:15:33 AM	11.856							
07/29/17	11:15:33 AM	12.171							
07/29/17	12:15:33 PM	11.516							
07/29/17	01:15:33 PM	12.195							
07/29/17	02:15:33 PM	12.751							
07/29/17	03:15:33 PM	12.558							
07/29/17	04:15:33 PM	13.233							
07/29/17	05:15:33 PM	5.693							
07/29/17	06:15:33 PM	5.668							
07/29/17	07:15:33 PM	5.668							
07/29/17	08:15:33 PM	5.668							
07/29/17	09:15:33 PM	5.668							
07/29/17	10:15:33 PM	5.668							
07/29/17	11:15:33 PM	5.668							
07/30/17	12:15:33 AM	5.668							
07/30/17	01:15:33 AM	5.668							
07/30/17	02:15:33 AM	5.668							
07/30/17	03:15:33 AM	5.668							
07/30/17	04:15:33 AM	5.693							
07/30/17	05:15:33 AM	5.668							
07/30/17	06:15:33 AM	5.668							
07/30/17	07:15:33 AM	5.668							
07/30/17	08:15:33 AM	5.668							
07/30/17	09:15:33 AM	5.668							
07/30/17	10:15:33 AM	5.668							
07/30/17	11:15:33 AM	5.668							
07/30/17	12:15:33 PM	5.668							
07/30/17	01:15:33 PM	12.703							
07/30/17	02:15:33 PM	6.306							
07/30/17	03:15:33 PM	6.255							
07/30/17	04:15:33 PM	6.255							
07/30/17	05:15:33 PM	6.179							
07/30/17	06:15:33 PM	6.306							
07/30/17	07:15:33 PM	6.382							
07/30/17	08:15:33 PM	6.306							
07/30/17	09:15:33 PM	6.306							
07/30/17	10:15:33 PM	6.382							
07/30/17	11:15:33 PM	6.382							
07/31/17	12:15:33 AM	6.408							
07/31/17	01:15:33 AM	6.281							
07/31/17	02:15:33 AM	6.331							
07/31/17	03:15:33 AM	6.357							
07/31/17	04:15:33 AM	6.433							
07/31/17	05:15:33 AM	6.408							
07/31/17	06:15:33 AM	6.357							
07/31/17	07:15:33 AM	6.433							
07/31/17	08:15:33 AM	6.433							
07/31/17	08:55:56 AM					Logged	Logged		
07/31/17	08:56:01 AM							Logged	Logged
