Date	Time,Temperature  (*C)
07/29/13	13:30:35.0,15.87
07/29/13	14:30:35.0,5.58
07/29/13	15:30:35.0,5.58
07/29/13	16:30:35.0,5.58
07/29/13	17:30:35.0,5.58
07/29/13	18:30:35.0,5.58
07/29/13	19:30:35.0,5.58
07/29/13	20:30:35.0,5.58
07/29/13	21:30:35.0,5.58
07/29/13	22:30:35.0,5.58
07/29/13	23:30:35.0,5.58
07/30/13	00:30:35.0,5.58
07/30/13	01:30:35.0,5.58
07/30/13	02:30:35.0,5.58
07/30/13	03:30:35.0,5.58
07/30/13	04:30:35.0,5.58
07/30/13	05:30:35.0,5.58
07/30/13	06:30:35.0,5.58
07/30/13	07:30:35.0,5.58
07/30/13	08:30:35.0,5.58
07/30/13	09:30:35.0,16.99
07/30/13	10:30:35.0,18.27
07/30/13	11:30:35.0,14.92
07/30/13	12:30:35.0,15.08
07/30/13	13:30:35.0,15.87
07/30/13	14:30:35.0,5.89
07/30/13	15:30:35.0,5.89
07/30/13	16:30:35.0,5.89
07/30/13	17:30:35.0,5.74
07/30/13	18:30:35.0,5.74
07/30/13	19:30:35.0,5.74
07/30/13	20:30:35.0,5.74
07/30/13	21:30:35.0,5.74
07/30/13	22:30:35.0,5.74
07/30/13	23:30:35.0,5.58
07/31/13	00:30:35.0,5.74
07/31/13	01:30:35.0,5.74
07/31/13	02:30:35.0,5.74
07/31/13	03:30:35.0,5.89
07/31/13	04:30:35.0,5.89
07/31/13	05:30:35.0,6.06
07/31/13	06:30:35.0,5.89
07/31/13	07:30:35.0,5.89
07/31/13	08:30:35.0,5.89
07/31/13	09:30:35.0,14.44
07/31/13	10:30:35.0,14.76
07/31/13	11:30:35.0,15.71
07/31/13	12:30:35.0,15.71
07/31/13	13:30:35.0,16.03
07/31/13	14:30:35.0,18.76
07/31/13	15:30:35.0,19.58
07/31/13	16:30:35.0,19.90
07/31/13	17:30:35.0,20.71
07/31/13	18:30:35.0,21.04
07/31/13	19:30:35.0,20.38
07/31/13	20:30:35.0,20.22
07/31/13	21:30:35.0,19.09
07/31/13	22:30:35.0,18.11
07/31/13	23:30:35.0,17.15
08/01/13	00:30:35.0,16.51
08/01/13	01:30:35.0,15.87
08/01/13	02:30:35.0,15.56
08/01/13	03:30:35.0,15.08
08/01/13	04:30:35.0,14.76
08/01/13	05:30:35.0,14.13
08/01/13	06:30:35.0,14.76
08/01/13	07:30:35.0,16.51
08/01/13	08:30:35.0,18.60
08/01/13	09:30:35.0,19.09
08/01/13	10:30:35.0,19.58
08/01/13	11:30:35.0,20.88
08/01/13	12:30:35.0,22.88
08/01/13	13:30:35.0,23.73
08/01/13	14:30:35.0,5.74
08/01/13	15:30:35.0,5.89
08/01/13	16:30:35.0,5.89
08/01/13	17:30:35.0,5.74
08/01/13	18:30:35.0,5.89
08/01/13	19:30:35.0,5.74
08/01/13	20:30:35.0,5.89
08/01/13	21:30:35.0,5.89
08/01/13	22:30:35.0,5.89
08/01/13	23:30:35.0,5.74
08/02/13	00:30:35.0,5.89
08/02/13	01:30:35.0,5.89
08/02/13	02:30:35.0,5.89
08/02/13	03:30:35.0,5.89
08/02/13	04:30:35.0,5.74
08/02/13	05:30:35.0,5.74
08/02/13	06:30:35.0,5.89
08/02/13	07:30:35.0,5.74
08/02/13	08:30:35.0,5.89
08/02/13	09:30:35.0,5.89
08/02/13	10:30:35.0,16.67
08/02/13	11:30:35.0,16.51
08/02/13	12:30:35.0,17.15
08/02/13	13:30:35.0,18.27
08/02/13	14:30:35.0,5.27
08/02/13	15:30:35.0,5.27
08/02/13	16:30:35.0,5.27
08/02/13	17:30:35.0,5.27
08/02/13	18:30:35.0,5.27
08/02/13	19:30:35.0,5.27
08/02/13	20:30:35.0,5.27
08/02/13	21:30:35.0,5.27
08/02/13	22:30:35.0,5.27
08/02/13	23:30:35.0,5.27
08/03/13	00:30:35.0,5.27
08/03/13	01:30:35.0,5.27
08/03/13	02:30:35.0,5.27
08/03/13	03:30:35.0,5.27
08/03/13	04:30:35.0,5.27
08/03/13	05:30:35.0,5.27
08/03/13	06:30:35.0,5.27
08/03/13	07:30:35.0,5.27
08/03/13	08:30:35.0,5.27
08/03/13	09:30:35.0,16.51
08/03/13	10:30:35.0,16.67
08/03/13	11:30:35.0,16.99
08/03/13	12:30:35.0,16.99
08/03/13	13:30:35.0,16.99
08/03/13	14:30:35.0,18.60
08/03/13	15:30:35.0,19.58
08/03/13	16:30:35.0,5.27
08/03/13	17:30:35.0,5.27
08/03/13	18:30:35.0,5.27
08/03/13	19:30:35.0,5.27
08/03/13	20:30:35.0,5.27
08/03/13	21:30:35.0,5.27
08/03/13	22:30:35.0,5.27
08/03/13	23:30:35.0,5.27
08/04/13	00:30:35.0,5.27
08/04/13	01:30:35.0,5.27
08/04/13	02:30:35.0,5.27
08/04/13	03:30:35.0,5.27
08/04/13	04:30:35.0,5.27
08/04/13	05:30:35.0,5.27
08/04/13	06:30:35.0,5.27
08/04/13	07:30:35.0,5.27
08/04/13	08:30:35.0,5.27
08/04/13	09:30:35.0,5.27
08/04/13	10:30:35.0,11.81
08/04/13	11:30:35.0,12.27
08/04/13	12:30:35.0,13.36
08/04/13	13:30:35.0,5.89
08/04/13	14:30:35.0,6.06
08/04/13	15:30:35.0,6.99
08/04/13	16:30:35.0,6.99
08/04/13	17:30:35.0,6.37
08/04/13	18:30:35.0,6.21
08/04/13	19:30:35.0,6.06
08/04/13	20:30:35.0,5.58
08/04/13	21:30:35.0,5.43
08/04/13	22:30:35.0,5.74
08/04/13	23:30:35.0,5.74
08/05/13	00:30:35.0,5.58
08/05/13	01:30:35.0,5.74
08/05/13	02:30:35.0,5.89
08/05/13	03:30:35.0,6.83
08/05/13	04:30:35.0,6.37
08/05/13	05:30:35.0,6.21
08/05/13	06:30:35.0,6.21
08/05/13	07:30:35.0,9.01
