Date	Time,Temperature  (*C)
07/22/13	05:31:13.0,20.69
07/22/13	06:31:13.0,20.69
07/22/13	07:31:13.0,21.02
07/22/13	08:31:13.0,21.18
07/22/13	09:31:13.0,21.18
07/22/13	10:31:13.0,20.37
07/22/13	11:31:13.0,19.24
07/22/13	12:31:13.0,18.92
07/22/13	13:31:13.0,18.76
07/22/13	14:31:13.0,5.61
07/22/13	15:31:13.0,5.61
07/22/13	16:31:13.0,5.61
07/22/13	17:31:13.0,5.61
07/22/13	18:31:13.0,5.77
07/22/13	19:31:13.0,5.61
07/22/13	20:31:13.0,5.61
07/22/13	21:31:13.0,5.61
07/22/13	22:31:13.0,5.77
07/22/13	23:31:13.0,5.77
07/23/13	00:31:13.0,5.61
07/23/13	01:31:13.0,5.61
07/23/13	02:31:13.0,5.61
07/23/13	03:31:13.0,5.61
07/23/13	04:31:13.0,5.61
07/23/13	05:31:13.0,5.61
07/23/13	06:31:13.0,5.61
07/23/13	07:31:13.0,5.61
07/23/13	08:31:13.0,5.61
07/23/13	09:31:13.0,11.06
07/23/13	10:31:13.0,11.83
07/23/13	11:31:13.0,13.38
07/23/13	12:31:13.0,16.99
07/23/13	13:31:13.0,15.57
07/23/13	14:31:13.0,6.08
07/23/13	15:31:13.0,6.08
07/23/13	16:31:13.0,6.24
07/23/13	17:31:13.0,6.24
07/23/13	18:31:13.0,6.24
07/23/13	19:31:13.0,6.24
07/23/13	20:31:13.0,6.24
07/23/13	21:31:13.0,6.24
07/23/13	22:31:13.0,6.24
07/23/13	23:31:13.0,6.24
07/24/13	00:31:13.0,6.08
07/24/13	01:31:13.0,6.08
07/24/13	02:31:13.0,6.08
07/24/13	03:31:13.0,6.08
07/24/13	04:31:13.0,6.24
07/24/13	05:31:13.0,6.24
07/24/13	06:31:13.0,6.24
07/24/13	07:31:13.0,6.24
07/24/13	08:31:13.0,6.24
07/24/13	09:31:13.0,14.15
07/24/13	10:31:13.0,14.31
07/24/13	11:31:13.0,14.15
07/24/13	12:31:13.0,14.62
07/24/13	13:31:13.0,13.69
07/24/13	14:31:13.0,6.24
07/24/13	15:31:13.0,6.24
07/24/13	16:31:13.0,5.93
07/24/13	17:31:13.0,5.93
07/24/13	18:31:13.0,5.93
07/24/13	19:31:13.0,5.93
07/24/13	20:31:13.0,5.93
07/24/13	21:31:13.0,5.93
07/24/13	22:31:13.0,5.93
07/24/13	23:31:13.0,6.08
07/25/13	00:31:13.0,6.24
07/25/13	01:31:13.0,6.24
07/25/13	02:31:13.0,6.24
07/25/13	03:31:13.0,6.24
07/25/13	04:31:13.0,6.08
07/25/13	05:31:13.0,5.93
07/25/13	06:31:13.0,5.93
07/25/13	07:31:13.0,5.93
07/25/13	08:31:13.0,5.93
07/25/13	09:31:13.0,12.92
07/25/13	10:31:13.0,14.46
07/25/13	11:31:13.0,14.46
07/25/13	12:31:13.0,15.72
07/25/13	13:31:13.0,16.36
07/25/13	14:31:13.0,5.61
07/25/13	15:31:13.0,5.61
07/25/13	16:31:13.0,5.61
07/25/13	17:31:13.0,5.61
07/25/13	18:31:13.0,5.77
07/25/13	19:31:13.0,5.77
07/25/13	20:31:13.0,5.61
07/25/13	21:31:13.0,5.77
07/25/13	22:31:13.0,5.77
07/25/13	23:31:13.0,5.77
07/26/13	00:31:13.0,5.77
07/26/13	01:31:13.0,5.77
07/26/13	02:31:13.0,5.77
07/26/13	03:31:13.0,5.61
07/26/13	04:31:13.0,5.61
07/26/13	05:31:13.0,5.61
07/26/13	06:31:13.0,5.77
07/26/13	07:31:13.0,5.77
07/26/13	08:31:13.0,5.93
07/26/13	09:31:13.0,11.52
07/26/13	10:31:13.0,11.98
07/26/13	11:31:13.0,11.67
07/26/13	12:31:13.0,12.14
07/26/13	13:31:13.0,12.45
07/26/13	14:31:13.0,5.77
07/26/13	15:31:13.0,5.61
07/26/13	16:31:13.0,5.61
07/26/13	17:31:13.0,5.61
07/26/13	18:31:13.0,5.61
07/26/13	19:31:13.0,5.77
07/26/13	20:31:13.0,5.77
07/26/13	21:31:13.0,5.77
07/26/13	22:31:13.0,5.77
07/26/13	23:31:13.0,5.77
07/27/13	00:31:13.0,5.77
07/27/13	01:31:13.0,5.93
07/27/13	02:31:13.0,5.93
07/27/13	03:31:13.0,5.77
07/27/13	04:31:13.0,5.77
07/27/13	05:31:13.0,5.61
07/27/13	06:31:13.0,5.61
07/27/13	07:31:13.0,5.77
07/27/13	08:31:13.0,5.77
07/27/13	09:31:13.0,13.53
07/27/13	10:31:13.0,12.45
07/27/13	11:31:13.0,11.67
07/27/13	12:31:13.0,12.45
07/27/13	13:31:13.0,13.38
07/27/13	14:31:13.0,5.61
07/27/13	15:31:13.0,5.61
07/27/13	16:31:13.0,5.61
