Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
28.27520	7.39359	0.7642
28.27587	7.39275	0.8098
28.29178	7.37833	0.8492
28.31499	7.36265	0.8765
28.30285	7.35620	0.8826
28.29564	7.35322	0.8554
28.27739	7.37544	0.8220
28.26632	7.39726	0.7798
28.26711	7.41458	0.7464
28.25824	7.42891	0.7495
28.24921	7.43348	0.7767
28.23575	7.41227	0.8162
28.25244	7.36580	0.8649
28.29357	7.32377	0.8980
28.34198	7.29598	0.9011
28.35811	7.27458	0.8891
28.35813	7.27081	0.8617
28.33511	7.29964	0.8162
28.31182	7.33221	0.7648
28.29291	7.35930	0.7195
28.28471	7.37969	0.7043
28.26801	7.39632	0.7195
28.24912	7.39962	0.8014
28.24405	7.36008	0.8892
28.28960	7.31184	0.9437
28.34231	7.28012	0.9620
28.36320	7.26176	0.9377
28.34733	7.28321	0.8590
28.31620	7.32514	0.7530
28.28396	7.35589	0.6409
28.26688	7.36962	0.6137
28.24332	7.34588	0.6744
28.25421	7.29671	0.7864
28.28857	7.24890	0.8562
28.33223	7.21426	0.9108
28.38558	7.19358	0.9382
28.40942	7.18132	0.9260
28.38943	7.19729	0.8988
28.35807	7.23599	0.8503
28.33854	7.26391	0.7988
28.33071	7.28227	0.7565
28.32259	7.29634	0.7354
28.31222	7.30566	0.7232
28.30722	7.31293	0.7476
28.30606	7.30744	0.7930
28.31974	7.27965	0.8324
28.33938	7.25298	0.8870
28.36878	7.23369	0.9113
28.38096	7.22659	0.9264
28.38626	7.22241	0.9053
28.37373	7.23996	0.8658
28.35071	7.27128	0.8023
28.33854	7.29284	0.7297
28.32426	7.30922	0.6691
28.31109	7.31843	0.6570
28.29144	7.31566	0.7117
28.28714	7.28640	0.8116
28.30923	7.24948	0.8844
28.35335	7.21995	0.9359
28.39135	7.20047	0.9449
28.41427	7.18831	0.9269
28.39653	7.20460	0.8845
28.36787	7.23688	0.8209
28.34531	7.26710	0.7574
28.32780	7.28959	0.7210
28.31260	7.30247	0.7180
28.30792	7.31053	0.7363
28.31066	7.30691	0.7757
28.31882	7.28760	0.8244
28.33730	7.26657	0.8576
28.36558	7.25178	0.8759
28.36869	7.24791	0.8728
28.37696	7.24253	0.8639
28.37410	7.25094	0.8519
28.37353	7.25617	0.8517
28.37337	7.26019	0.8549
28.36726	7.26501	0.8366
28.36136	7.26956	0.8065
