"Plot Title: 14"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10518876, SEN S/N: 10518876)","Coupler Detached (LGR S/N: 10518876)","Coupler Attached (LGR S/N: 10518876)","Host Connected (LGR S/N: 10518876)","Stopped (LGR S/N: 10518876)","End Of File (LGR S/N: 10518876)"
1,07/08/16 09:45:33 AM,24.557,,,,,
2,07/08/16 09:45:37 AM,,Logged,,,,
3,07/08/16 10:45:38 AM,28.642,,,,,
4,07/08/16 11:45:43 AM,22.369,,,,,
5,07/08/16 12:45:48 PM,30.571,,,,,
6,07/08/16 01:45:53 PM,7.368,,,,,
7,07/08/16 02:45:58 PM,7.293,,,,,
8,07/08/16 03:46:03 PM,7.268,,,,,
9,07/08/16 04:46:08 PM,7.242,,,,,
10,07/08/16 05:46:13 PM,7.293,,,,,
11,07/08/16 06:46:18 PM,7.343,,,,,
12,07/08/16 07:46:23 PM,7.419,,,,,
13,07/08/16 08:46:28 PM,7.619,,,,,
14,07/08/16 09:46:33 PM,7.619,,,,,
15,07/08/16 10:46:38 PM,7.469,,,,,
16,07/08/16 11:46:43 PM,7.318,,,,,
17,07/09/16 12:46:48 AM,7.167,,,,,
18,07/09/16 01:46:53 AM,7.217,,,,,
19,07/09/16 02:46:58 AM,7.116,,,,,
20,07/09/16 03:47:03 AM,7.142,,,,,
21,07/09/16 04:47:08 AM,7.167,,,,,
22,07/09/16 05:47:13 AM,7.242,,,,,
23,07/09/16 06:47:18 AM,7.242,,,,,
24,07/09/16 07:47:23 AM,16.129,,,,,
25,07/09/16 08:47:28 AM,15.461,,,,,
26,07/09/16 09:47:33 AM,15.175,,,,,
27,07/09/16 10:47:38 AM,15.294,,,,,
28,07/09/16 11:47:43 AM,15.079,,,,,
29,07/09/16 12:47:48 PM,15.915,,,,,
30,07/09/16 01:47:53 PM,16.915,,,,,
31,07/09/16 02:47:58 PM,18.580,,,,,
32,07/09/16 03:48:03 PM,6.382,,,,,
33,07/09/16 04:48:08 PM,6.357,,,,,
34,07/09/16 05:48:13 PM,6.357,,,,,
35,07/09/16 06:48:18 PM,6.458,,,,,
36,07/09/16 07:48:23 PM,6.433,,,,,
37,07/09/16 08:48:28 PM,6.458,,,,,
38,07/09/16 09:48:33 PM,6.535,,,,,
39,07/09/16 10:48:38 PM,6.535,,,,,
40,07/09/16 11:48:43 PM,6.382,,,,,
41,07/10/16 12:48:48 AM,6.357,,,,,
42,07/10/16 01:48:53 AM,6.331,,,,,
43,07/10/16 02:48:58 AM,6.331,,,,,
44,07/10/16 03:49:03 AM,6.331,,,,,
45,07/10/16 04:49:08 AM,6.306,,,,,
46,07/10/16 05:49:13 AM,6.306,,,,,
