"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/21/18	08:05:07 PM	5.924							
07/21/18	09:05:07 PM	5.745							
07/21/18	10:05:07 PM	5.616							
07/21/18	11:05:07 PM	5.616							
07/22/18	12:05:07 AM	5.591							
07/22/18	01:05:07 AM	5.616							
07/22/18	02:05:07 AM	5.616							
07/22/18	03:05:07 AM	5.642							
07/22/18	04:05:07 AM	5.796							
07/22/18	05:05:07 AM	5.847							
07/22/18	06:05:07 AM	12.944							
07/22/18	07:05:07 AM	13.570							
07/22/18	08:05:07 AM	14.673							
07/22/18	09:05:07 AM	15.939							
07/22/18	09:50:48 AM					Logged	Logged		
07/22/18	09:50:55 AM							Logged	Logged
