Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
109	12.33754	2.7257098	0.5661	6.488475	22.68357
110	12.32132	2.7328592	0.5630	6.487704	22.75881
111	12.32972	2.7329412	0.5660	6.486700	22.75448
112	12.32084	2.7261668	0.5570	6.490242	22.69782
113	12.28509	2.7162919	0.5630	6.498062	22.62894
114	12.26163	2.7171930	0.5600	6.500456	22.65133
115	12.28675	2.7163972	0.5630	6.497829	22.62890
116	12.33682	2.7149753	0.5661	6.492538	22.58579
117	12.38325	2.7140977	0.5721	6.487473	22.54993
118	12.41767	2.7107647	0.5691	6.484713	22.49891
119	12.44661	2.7057624	0.5722	6.483202	22.43603
120	12.47600	2.7014815	0.5751	6.481371	22.37956
121	12.50295	2.7013761	0.5721	6.478285	22.36262
122	12.52351	2.7049906	0.5751	6.474576	22.38331
123	12.53706	2.7038633	0.5661	6.473421	22.36503
124	12.53742	2.6979905	0.5599	6.475535	22.31143
125	12.51787	2.6931022	0.5660	6.479596	22.27853
126	12.49289	2.6920761	0.5661	6.482872	22.28395
127	12.47354	2.6930909	0.5660	6.484745	22.30462
128	12.46068	2.6953599	0.5691	6.485404	22.33290
129	12.45110	2.6980671	0.5690	6.485518	22.36324
130	12.43932	2.6982540	0.5661	6.486818	22.37193
131	12.42281	2.6971338	0.5631	6.489149	22.37152
132	12.40321	2.6955412	0.5691	6.492016	22.36864
133	12.38732	2.6948530	0.5721	6.494120	22.37180
134	12.37669	2.6957515	0.5782	6.495024	22.38631
135	12.37060	2.6983888	0.5783	6.494757	22.41402
136	12.36409	2.7025568	0.5691	6.493971	22.45596
137	12.35639	2.7031700	0.5661	6.494639	22.46616
138	12.34953	2.6988967	0.5600	6.497021	22.43121
139	12.34338	2.6946259	0.5721	6.499320	22.39585
140	12.33336	2.6935704	0.5782	6.500879	22.39217
141	12.30814	2.6949646	0.5873	6.503302	22.41993
142	12.27562	2.6983138	0.5873	6.505851	22.46999
143	12.26038	2.7028730	0.5843	6.505932	22.52086
144	12.25187	2.7030132	0.5812	6.506873	22.52725
145	12.23759	2.7104214	0.5752	6.505777	22.60373
146	12.21101	2.7116492	0.5692	6.508418	22.63100
147	12.17619	2.7030431	0.5661	6.515698	22.57297
148	12.15191	2.7024243	0.5691	6.518769	22.58190
149	12.14016	2.7036799	0.5661	6.519673	22.60051
150	12.12610	2.7058703	0.5661	6.520497	22.62913
151	12.11685	2.7085990	0.5662	6.520556	22.65980
152	12.11223	2.7100192	0.5691	6.520564	22.67566
153	12.10482	2.7105745	0.5813	6.521222	22.68525
154	12.09765	2.7118139	0.5812	6.521596	22.70100
155	12.09392	2.7134219	0.5783	6.521429	22.71806
156	12.09475	2.7151179	0.5752	6.520695	22.73317
157	12.09931	2.7163462	0.5752	6.519700	22.74171
158	12.10393	2.7180955	0.5751	6.518503	22.75501
159	12.10524	2.7176508	0.5782	6.518518	22.75013
160	12.10559	2.7173173	0.5752	6.518602	22.74684
161	12.10778	2.7176625	0.5782	6.518216	22.74869
162	12.11312	2.7189029	0.5692	6.517127	22.75687
163	12.11934	2.7202431	0.5661	6.515898	22.76542
164	12.12551	2.7216420	0.5691	6.514654	22.77455
165	12.12990	2.7229066	0.5631	6.513668	22.78352
166	12.13186	2.7231173	0.5752	6.513360	22.78427
167	12.13209	2.7221279	0.5782	6.513704	22.77502
168	12.12824	2.7198684	0.5752	6.515000	22.75657
169	12.11863	2.7180485	0.5813	6.516804	22.74566
170	12.11075	2.7176917	0.5752	6.517859	22.74716
171	12.10512	2.6849111	0.5722	6.530820	22.44908
172	12.10203	2.6314280	0.5722	6.551266	21.96000
173	12.10043	2.6328044	0.5783	6.550939	21.97355
174	12.09723	2.6630006	0.5783	6.539975	22.25250
175	12.09344	2.6281326	0.5693	6.553523	21.93482
176	12.08770	2.6954856	0.5632	6.528894	22.55677
177	12.07301	2.7132057	0.5692	6.523956	22.72876
178	12.02773	2.7094705	0.5723	6.530664	22.72181
179	11.97513	2.7086294	0.5783	6.537154	22.74600
180	11.91358	2.7095884	0.5814	6.544023	22.79235
181	11.86473	2.7120557	0.5813	6.548834	22.84502
182	11.83771	2.7172904	0.5783	6.550023	22.91009
183	11.83530	2.7272783	0.5814	6.546506	23.00419
184	11.85996	2.7350564	0.5723	6.540653	23.06112
185	11.89289	2.7400016	0.5754	6.534918	23.08661
186	11.91175	2.7444334	0.5662	6.531031	23.11602
187	11.91317	2.7487036	0.5662	6.529247	23.15470
188	11.90592	2.7507426	0.5632	6.529322	23.17810
189	11.90173	2.7520827	0.5723	6.529303	23.19311
190	11.90727	2.7531643	0.5632	6.528245	23.19970
191	11.92319	2.7541754	0.5723	6.526004	23.19918
192	11.94467	2.7555394	0.5783	6.522983	23.19849
193	11.96615	2.7574800	0.5784	6.519746	23.20312
194	11.98688	2.7602038	0.5845	6.516303	23.21546
195	12.01141	2.7642001	0.5844	6.511944	23.23721
196	12.04299	2.7681984	0.5753	6.506771	23.25456
197	12.08035	2.7713797	0.5755	6.501243	23.26075
198	12.13215	2.7732711	0.5724	6.494537	23.24607
199	12.20292	2.7746204	0.5724	6.485856	23.21468
200	12.28264	2.7758579	0.5694	6.476205	23.17683
201	12.35920	2.7769304	0.5785	6.467002	23.13953
202	12.42395	2.7777791	0.5845	6.459256	23.10753
203	12.47714	2.7787696	0.5815	6.452797	23.08400
204	12.52489	2.7798723	0.5785	6.446928	23.06486
205	12.57504	2.7806152	0.5724	6.440926	23.04101
206	12.62875	2.7810573	0.5785	6.434638	23.01229
207	12.68248	2.7807500	0.5755	6.428629	22.97682
208	12.73973	2.7805017	0.5664	6.422208	22.93984
209	12.80619	2.7806427	0.5633	6.414610	22.90091
210	12.87803	2.7810550	0.5664	6.406318	22.86129
211	12.93668	2.7817154	0.5664	6.399445	22.83197
212	12.97606	2.7825117	0.5695	6.394711	22.81550
213	12.99725	2.7833142	0.5786	6.392032	22.81002
214	13.00247	2.7838100	0.5907	6.391265	22.81135
215	12.99974	2.7840816	0.5938	6.391476	22.81544
216	13.00010	2.7855751	0.5968	6.390901	22.82868
217	13.00788	2.7864312	0.5817	6.389717	22.83174
218	13.02957	2.7849373	0.5786	6.387806	22.80526
219	13.06844	2.7839393	0.5757	6.383784	22.77299
220	13.11965	2.7842457	0.5696	6.377912	22.74514
221	13.18040	2.7846643	0.5635	6.370938	22.71267
222	13.22016	2.7853252	0.5605	6.366243	22.69493
223	13.24315	2.7844926	0.5726	6.363961	22.67380
224	13.27049	2.7821491	0.5757	6.361726	22.63659
225	13.30521	2.7799715	0.5877	6.358606	22.59655
226	13.33021	2.7795347	0.5969	6.355962	22.57786
227	13.32659	2.7811572	0.5969	6.355795	22.59450
228	13.31336	2.7851826	0.5939	6.355858	22.63832
229	13.30913	2.7884718	0.5758	6.355171	22.67025
230	13.31164	2.7897949	0.5667	6.354424	22.68059
231	13.31501	2.7898540	0.5636	6.354027	22.67912
232	13.31513	2.7880583	0.5607	6.354646	22.66299
233	13.30980	2.7820425	0.5758	6.357362	22.61235
234	13.29694	2.7772758	0.5788	6.360482	22.57733
235	13.25018	2.7751888	0.5849	6.366462	22.58631
236	13.17369	2.7753781	0.5940	6.374988	22.63334
237	13.10296	2.7790412	0.5970	6.381644	22.70831
238	13.07130	2.7837504	0.6031	6.383530	22.76957
239	13.07124	2.7863657	0.5880	6.382603	22.79315
240	13.06765	2.7878952	0.5790	6.382462	22.80907
241	13.05371	2.7886395	0.5728	6.383764	22.82413
242	13.04216	2.7891062	0.5668	6.384898	22.83527
243	13.04459	2.7891358	0.5638	6.384614	22.83407
244	13.05511	2.7877831	0.5638	6.383912	22.81558
245	13.05596	2.7833963	0.5699	6.385383	22.77557
246	13.03669	2.7777441	0.5760	6.389575	22.73621
247	12.97885	2.7752797	0.5912	6.396989	22.74859
248	12.88100	2.7753572	0.5912	6.408035	22.80798
249	12.80051	2.7792091	0.5972	6.415773	22.89134
250	12.77708	2.7838947	0.5973	6.416736	22.94799
251	12.78903	2.7864332	0.5942	6.414461	22.96377
252	12.79024	2.7878682	0.5761	6.413804	22.97605
253	12.77949	2.7885888	0.5701	6.414762	22.98911
254	12.76790	2.7889729	0.5731	6.415937	22.99963
255	12.76036	2.7885299	0.5731	6.416953	23.00019
256	12.75692	2.7864040	0.5792	6.418115	22.98298
257	12.75101	2.7817997	0.5792	6.420456	22.94478
258	12.73273	2.7778294	0.5883	6.423973	22.91981
259	12.68869	2.7769275	0.5944	6.429314	22.93831
260	12.63813	2.7804436	0.5944	6.433793	23.00099
261	12.61745	2.7856022	0.5883	6.434266	23.06057
262	12.62767	2.7890037	0.5854	6.431861	23.08531
263	12.63801	2.7895529	0.5793	6.430483	23.08400
264	12.64030	2.7883361	0.5733	6.430667	23.07152
265	12.63741	2.7868479	0.5703	6.431538	23.05974
266	12.63254	2.7859386	0.5703	6.432425	23.05443
267	12.62773	2.7856612	0.5734	6.433074	23.05484
