Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Pressure, Strain Gauge [db]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1450	6.11053	3.1190977	58.3552	58.0264	7.072348	31.30397
1451	6.10718	3.1184510	58.0962	57.7689	7.073096	31.30001
1452	6.10499	3.1178535	57.8372	57.5114	7.073672	31.29551
1453	6.10326	3.1174162	57.5601	57.2359	7.074108	31.29238
1454	6.10179	3.1170221	57.2828	56.9602	7.074490	31.28949
1455	6.10173	3.1168065	57.0179	56.6969	7.074601	31.28727
1456	6.10448	3.1165477	56.7529	56.4333	7.074383	31.28199
1457	6.10804	3.1164245	56.4788	56.1609	7.073993	31.27747
1458	6.11170	3.1164613	56.2046	55.8882	7.073507	31.27463
1459	6.11791	3.1163996	55.9335	55.6187	7.072753	31.26836
1460	6.12391	3.1164302	55.6776	55.3643	7.071978	31.26329
1461	6.13057	3.1165840	55.4127	55.1009	7.071055	31.25899
1462	6.13770	3.1167563	55.1506	54.8403	7.070066	31.25446
1463	6.14559	3.1168423	54.8827	54.5739	7.069026	31.24828
1464	6.15373	3.1170330	54.6144	54.3072	7.067899	31.24303
1465	6.16061	3.1171376	54.3556	54.0499	7.066977	31.23799
1466	6.16621	3.1172852	54.0904	53.7862	7.066193	31.23460
1467	6.17176	3.1173159	53.8346	53.5319	7.065474	31.22996
1468	6.17619	3.1172911	53.5696	53.2684	7.064925	31.22574
1469	6.18159	3.1174388	53.3078	53.0081	7.064166	31.22253
1470	6.18908	3.1176357	53.0366	52.7385	7.063120	31.21796
1471	6.19606	3.1176786	52.7503	52.4538	7.062216	31.21216
1472	6.20136	3.1178509	52.4790	52.1840	7.061458	31.20933
1473	6.20727	3.1182326	52.2172	51.9237	7.060516	31.20825
1474	6.21242	3.1184111	51.9490	51.6571	7.059773	31.20562
1475	6.21696	3.1186635	51.6868	51.3964	7.059070	31.20438
1476	6.22328	3.1190206	51.4190	51.1302	7.058090	31.20265
1477	6.22950	3.1191251	51.1418	50.8545	7.057251	31.19823
1478	6.23466	3.1194823	50.8766	50.5908	7.056418	31.19758
1479	6.24052	3.1197347	50.6148	50.3306	7.055549	31.19512
1480	6.24496	3.1197777	50.3437	50.0610	7.054965	31.19165
1481	6.24940	3.1198330	50.0786	49.7975	7.054375	31.18831
1482	6.25374	3.1199560	49.8136	49.5340	7.053764	31.18582
1483	6.25828	3.1200114	49.5454	49.2673	7.053161	31.18240
1484	6.26170	3.1197772	49.2926	49.0160	7.052847	31.17679
