Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
108	10.34262	1.8340236	0.7347	7.094682	15.51848
109	10.28934	1.8308348	0.8074	7.103592	15.51174
110	10.25604	1.8007947	0.8408	7.120841	15.24876
111	10.26980	1.8017095	0.8467	7.118488	15.25142
112	10.33764	1.8068659	0.8560	7.106641	15.27049
113	10.40917	1.8126635	0.8620	7.094042	15.29383
114	10.44731	1.8250734	0.8681	7.083504	15.39179
115	10.42912	1.8456652	0.8742	7.077600	15.58877
116	10.37311	1.8737080	0.8803	7.073940	15.87129
117	10.33131	1.9004699	0.8802	7.068754	16.13694
118	10.30159	1.9468519	0.8711	7.053686	16.58025
119	10.27116	1.9719485	0.8590	7.047509	16.82752
120	10.24458	1.9947860	0.8499	7.041706	17.05266
121	10.23212	2.0078403	0.8529	7.038000	17.18033
122	10.22558	2.0184801	0.8469	7.034473	17.28281
123	10.21392	2.0279658	0.8560	7.032135	17.37703
124	10.20096	2.0355829	0.8500	7.030750	17.45450
125	10.19200	2.0409169	0.8529	7.029761	17.50874
126	10.18215	2.0410070	0.8561	7.031086	17.51432
127	10.17297	2.0406894	0.8743	7.032487	17.51576
128	10.16059	2.0534128	0.8833	7.028879	17.64102
129	10.14765	2.0648231	0.8802	7.025891	17.75439
130	10.14174	2.0636169	0.8772	7.027210	17.74595
131	10.15288	2.0534553	0.8681	7.029925	17.64516
132	10.16869	2.0706451	0.8529	7.020557	17.79875
133	10.16717	2.0768454	0.8500	7.018175	17.85770
134	10.15136	2.0890727	0.8500	7.015234	17.98037
135	10.13572	2.0929154	0.8559	7.015772	18.02424
136	10.13280	2.0969206	0.8712	7.014496	18.06337
137	10.14770	2.0987424	0.8681	7.011690	18.07310
138	10.16278	2.1004739	0.8712	7.008900	18.08188
139	10.16999	2.0934437	0.8621	7.010851	18.01222
140	10.16436	2.0998966	0.8560	7.008925	18.07567
141	10.15001	2.1159832	0.8590	7.004161	18.23418
142	10.13842	2.1277666	0.8650	7.000813	18.35100
143	10.14202	2.1125656	0.8650	7.006683	18.20601
144	10.17303	2.0636857	0.8620	7.022869	17.73133
145	10.19093	2.0353820	0.8530	7.032220	17.45743
146	10.21228	2.0339540	0.8439	7.029863	17.43383
147	10.25039	2.0970587	0.8348	6.998337	18.00636
148	10.26427	2.1394797	0.8348	6.978806	18.39765
149	10.25660	2.1452911	0.8378	6.977430	18.45615
150	10.24927	2.1287000	0.8500	6.985327	18.30393
151	10.25801	2.1100108	0.8501	6.991910	18.12408
152	10.25688	2.1130790	0.8530	6.990788	18.15343
153	10.24763	2.1069282	0.8469	6.994608	18.10032
154	10.23906	2.1339964	0.8409	6.984510	18.35884
155	10.22716	2.1512211	0.8409	6.978952	18.52689
156	10.20614	2.1588773	0.8468	6.978610	18.60971
157	10.18023	2.1479569	0.8439	6.986681	18.52005
158	10.17387	2.1414330	0.8499	6.990270	18.46181
159	10.19983	2.1407926	0.8560	6.987008	18.44261
160	10.20811	2.1265745	0.8500	6.991811	18.30465
161	10.19904	2.1333626	0.8438	6.990215	18.37308
162	10.18682	2.1381573	0.8438	6.989877	18.42439
163	10.17207	2.1337872	0.8378	6.993709	18.39071
164	10.15153	2.1301989	0.8318	6.998007	18.36730
165	10.13769	2.1294955	0.8439	7.000189	18.36766
166	10.14286	2.1248683	0.8529	7.001420	18.32145
167	10.16486	2.1131010	0.8620	7.003336	18.19961
168	10.17708	2.0980049	0.8772	7.007974	18.05157
169	10.17021	2.0983041	0.8742	7.008789	18.05779
170	10.16047	2.1097117	0.8652	7.005353	18.16992
171	10.15991	2.1284429	0.8530	6.997599	18.34652
172	10.15732	2.1342817	0.8469	6.995511	18.40283
173	10.15462	2.1319445	0.8410	6.996856	18.38218
174	10.15125	2.1278149	0.8439	6.999043	18.34498
175	10.14140	2.1287008	0.8501	7.000015	18.35830
176	10.13471	2.1220626	0.8560	7.003707	18.29913
177	10.13881	2.1033878	0.8652	7.010964	18.12123
178	10.15113	2.0921786	0.8622	7.013965	18.00967
179	10.19206	2.0874667	0.8561	7.010321	17.94517
180	10.27014	2.0893706	0.8561	6.998835	17.92455
181	10.33708	2.0929140	0.8500	6.988223	17.92479
182	10.38177	2.0998043	0.8502	6.979285	17.96723
183	10.40645	2.0990185	0.8561	6.976252	17.94774
184	10.42175	2.0913014	0.8561	6.977354	17.86819
185	10.44062	2.0874863	0.8592	6.976358	17.82338
186	10.45758	2.0858596	0.8531	6.974720	17.79995
187	10.46841	2.0885690	0.8440	6.972132	17.81992
188	10.47369	2.1003114	0.8469	6.966588	17.92678
189	10.47023	2.1118886	0.8411	6.962298	18.03645
190	10.45797	2.1162598	0.8410	6.962159	18.08330
191	10.44130	2.1146579	0.8562	6.965076	18.07660
192	10.43308	2.1030168	0.8683	6.970986	17.97196
193	10.43495	2.0881745	0.8714	6.976846	17.83256
194	10.46427	2.0870541	0.8775	6.973319	17.80781
195	10.56964	2.0861574	0.8714	6.959379	17.74824
196	10.68888	2.0830590	0.8532	6.944501	17.66188
197	10.77606	2.0816195	0.8562	6.933318	17.60667
198	10.83805	2.0790510	0.8441	6.926003	17.55331
199	10.86315	2.0746047	0.8442	6.924416	17.50037
200	10.86384	2.0730293	0.8501	6.924957	17.48553
201	10.85914	2.0728271	0.8472	6.925672	17.48591
202	10.86195	2.0715501	0.8503	6.925807	17.47281
