date	time	temp
06/22/16	09:18:23 AM	19.98388888888889
06/22/16	10:18:28 AM	21.389999999999997
06/22/16	11:18:33 AM	21.89111111111111
06/22/16	12:18:38 PM	22.53722222222222
06/22/16	01:18:43 PM	18.318888888888893
06/22/16	02:18:48 PM	6.20388888888889
06/22/16	03:18:53 PM	6.20388888888889
06/22/16	04:18:58 PM	6.20388888888889
06/22/16	05:19:03 PM	6.178888888888889
06/22/16	06:19:08 PM	6.178888888888889
06/22/16	07:19:13 PM	6.20388888888889
06/22/16	08:19:18 PM	6.20388888888889
06/22/16	09:19:23 PM	6.20388888888889
06/22/16	10:19:28 PM	6.20388888888889
06/22/16	11:19:33 PM	6.20388888888889
06/23/16	12:19:38 AM	6.20388888888889
06/23/16	01:19:43 AM	6.178888888888889
06/23/16	02:19:48 AM	6.178888888888889
06/23/16	03:19:53 AM	6.178888888888889
06/23/16	04:19:58 AM	6.178888888888889
06/23/16	05:20:03 AM	6.178888888888889
06/23/16	06:20:08 AM	6.20388888888889
06/23/16	07:20:13 AM	6.20388888888889
06/23/16	08:20:18 AM	6.20388888888889
06/23/16	09:20:23 AM	6.20388888888889
06/23/16	10:20:28 AM	19.817222222222227
06/23/16	11:20:33 AM	21.652222222222225
06/23/16	12:20:38 PM	19.555
06/23/16	01:20:43 PM	20.43611111111111
06/23/16	02:20:48 PM	19.22222222222222
06/23/16	03:20:53 PM	10.02611111111111
06/23/16	04:20:58 PM	6.127777777777779
06/23/16	05:21:03 PM	6.127777777777779
06/23/16	06:21:08 PM	6.127777777777779
06/23/16	07:21:13 PM	6.178888888888889
06/23/16	08:21:18 PM	6.127777777777779
06/23/16	09:21:23 PM	6.20388888888889
06/23/16	10:21:28 PM	6.1527777777777795
06/23/16	11:21:33 PM	6.178888888888889
06/24/16	12:21:38 AM	6.178888888888889
06/24/16	01:21:43 AM	6.102222222222223
06/24/16	02:21:48 AM	6.077222222222223
06/24/16	03:21:53 AM	6.051111111111113
06/24/16	04:21:58 AM	6.077222222222223
06/24/16	05:22:03 AM	6.102222222222223
06/24/16	06:22:08 AM	6.102222222222223
06/24/16	07:22:13 AM	6.1527777777777795
06/24/16	08:22:18 AM	6.1527777777777795
06/24/16	09:22:23 AM	6.20388888888889
06/24/16	10:22:28 AM	6.178888888888889
06/24/16	11:22:33 AM	13.59388888888889
06/24/16	12:22:38 PM	12.943888888888889
06/24/16	01:22:43 PM	13.497222222222224
06/24/16	02:22:48 PM	13.328888888888889
06/24/16	03:22:53 PM	6.78777777777778
06/24/16	04:22:58 PM	6.78777777777778
06/24/16	05:23:03 PM	6.7122222222222225
06/24/16	06:23:08 PM	6.737222222222224
06/24/16	07:23:13 PM	6.762777777777779
06/24/16	08:23:18 PM	6.762777777777779
06/24/16	09:23:23 PM	6.83888888888889
06/24/16	10:23:28 PM	6.939999999999999
06/24/16	11:23:33 PM	7.0150000000000015
06/25/16	12:23:38 AM	6.888888888888888
06/25/16	01:23:43 AM	7.0150000000000015
06/25/16	02:23:48 AM	6.83888888888889
06/25/16	03:23:53 AM	6.762777777777779
06/25/16	04:23:58 AM	6.863888888888887
06/25/16	05:24:03 AM	6.812777777777777
06/25/16	06:24:08 AM	6.812777777777777
06/25/16	07:24:13 AM	6.78777777777778
06/25/16	08:24:18 AM	6.83888888888889
06/25/16	09:24:23 AM	6.990000000000001
06/25/16	10:24:28 AM	12.508888888888889
