Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
501	14.46937	3.0937737	0.6686	6.126150	24.66619
502	14.46589	3.0965063	0.6775	6.125604	24.69244
503	14.46633	3.0924845	0.6806	6.126891	24.65677
504	14.46595	3.0851091	0.6623	6.129375	24.59213
505	14.46292	3.0809397	0.6471	6.131071	24.55738
506	14.44508	3.0831347	0.6260	6.132189	24.58797
507	14.41619	3.0977168	0.6561	6.130336	24.73471
508	14.40576	3.1056387	0.7470	6.128782	24.81117
509	14.42573	3.1090332	0.8743	6.125595	24.82830
510	14.45090	3.1097281	0.9982	6.122771	24.81831
511	14.46943	3.1090328	1.1164	6.121092	24.80032
512	14.48171	3.1102139	1.2315	6.119438	24.80285
513	14.48963	3.1107552	1.3736	6.118445	24.80252
514	14.49476	3.1110075	1.5340	6.117836	24.80142
515	14.49831	3.1113643	1.7188	6.117355	24.80225
516	14.50071	3.1110690	1.8763	6.117206	24.79807
517	14.50293	3.1111860	2.0490	6.116942	24.79763
518	14.50508	3.1109829	2.2032	6.116789	24.79442
519	14.50673	3.1110076	2.3728	6.116613	24.79354
520	14.50927	3.1108846	2.5756	6.116395	24.79078
521	14.51275	3.1111307	2.7695	6.115958	24.79066
522	14.51573	3.1114507	2.9815	6.115548	24.79152
523	14.51706	3.1118815	3.1903	6.115271	24.79439
524	14.51788	3.1119861	3.4114	6.115154	24.79472
525	14.51877	3.1123431	3.6203	6.114947	24.79723
526	14.51947	3.1123800	3.8354	6.114866	24.79705
527	14.52010	3.1125770	4.0533	6.114738	24.79831
528	14.52080	3.1125771	4.2773	6.114669	24.79780
529	14.52112	3.1126018	4.4984	6.114631	24.79774
530	14.52118	3.1127864	4.7194	6.114566	24.79926
531	14.52105	3.1130511	4.9556	6.114494	24.80160
532	14.52048	3.1130697	5.1797	6.114549	24.80205
533	14.51985	3.1137590	5.4187	6.114389	24.80845
534	14.51902	3.1135806	5.6460	6.114536	24.80733
535	14.51807	3.1138207	5.8609	6.114556	24.80999
536	14.51712	3.1135685	6.0758	6.114740	24.80831
537	14.51605	3.1143502	6.3060	6.114595	24.81580
538	14.51389	3.1165110	6.5150	6.114105	24.83612
539	14.50889	3.1208220	6.7390	6.113197	24.87718
540	14.50052	3.1270769	6.9751	6.111990	24.93752
