Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1788	5.29998	3.1793314	136.5053	7.144656	32.71262
1789	5.29988	3.1790584	136.2996	7.144810	32.70971
1790	5.29963	3.1789405	136.0999	7.144900	32.70871
1791	5.29968	3.1788784	135.8938	7.144922	32.70805
1792	5.29953	3.1789403	135.6821	7.144903	32.70901
1793	5.29923	3.1787542	135.4677	7.145035	32.70729
1794	5.29914	3.1785742	135.2649	7.145139	32.70544
1795	5.29894	3.1784625	135.0593	7.145219	32.70446
1796	5.29879	3.1785431	134.8353	7.145190	32.70564
1797	5.29864	3.1785740	134.6205	7.145187	32.70624
1798	5.29859	3.1782390	134.4057	7.145368	32.70258
1799	5.29839	3.1780590	134.1999	7.145485	32.70083
1800	5.29829	3.1780280	133.9915	7.145509	32.70068
1801	5.29844	3.1779659	133.7707	7.145518	32.69993
1802	5.29839	3.1777921	133.5587	7.145612	32.69811
1803	5.29834	3.1776928	133.3441	7.145667	32.69713
1804	5.29844	3.1775439	133.1382	7.145729	32.69544
1805	5.29844	3.1774260	132.9416	7.145788	32.69419
1806	5.29849	3.1776058	132.7360	7.145680	32.69630
1807	5.29849	3.1791813	132.5272	7.144832	32.71436
1808	5.29859	3.1805400	132.3215	7.144087	32.72985
1809	5.29859	3.1810860	132.1159	7.143790	32.73618
1810	5.29864	3.1815451	131.9102	7.143533	32.74147
1811	5.29854	3.1820291	131.6952	7.143282	32.74719
1812	5.29854	3.1822711	131.4867	7.143147	32.75005
1813	5.29874	3.1819048	131.2870	7.143313	32.74578
1814	5.29874	3.1816938	131.0780	7.143422	32.74348
1815	5.29874	3.1827549	130.8664	7.142849	32.75568
1816	5.29889	3.1836114	130.6513	7.142366	32.76541
1817	5.29923	3.1840583	130.4370	7.142078	32.77027
1818	5.29933	3.1848466	130.2432	7.141639	32.77926
1819	5.29953	3.1859392	130.0344	7.141024	32.79163
1820	5.29983	3.1869139	129.8258	7.140460	32.80255
1821	5.30083	3.1877646	129.6172	7.139874	32.81138
1822	5.30178	3.1883421	129.4083	7.139441	32.81714
1823	5.30253	3.1889010	129.2056	7.139043	32.82288
1824	5.30313	3.1891929	128.9908	7.138806	32.82573
1825	5.30368	3.1887642	128.7819	7.138961	32.82041
1826	5.30432	3.1883108	128.5854	7.139117	32.81470
1827	5.30492	3.1878201	128.3676	7.139299	32.80863
1828	5.30537	3.1866402	128.1317	7.139869	32.79486
1829	5.30517	3.1860937	127.9077	7.140181	32.78893
1830	5.30477	3.1862426	127.7051	7.140147	32.79112
1831	5.30462	3.1865592	127.5053	7.139991	32.79498
1832	5.30457	3.1865157	127.2844	7.140016	32.79464
1833	5.30487	3.1862735	127.0786	7.140103	32.79169
1834	5.30497	3.1860934	126.8729	7.140182	32.78964
1835	5.30492	3.1853607	126.6580	7.140575	32.78145
1836	5.30492	3.1850564	126.4404	7.140733	32.77809
1837	5.30502	3.1850564	126.2287	7.140715	32.77810
1838	5.30467	3.1851184	126.0229	7.140721	32.77925
1839	5.30452	3.1855653	125.8083	7.140496	32.78460
1840	5.30423	3.1850872	125.5935	7.140784	32.77955
1841	5.30423	3.1847271	125.3819	7.140972	32.77555
1842	5.30432	3.1846960	125.1731	7.140971	32.77520
1843	5.30423	3.1845718	124.9671	7.141045	32.77398
1844	5.30413	3.1846648	124.7673	7.141004	32.77524
1845	5.30388	3.1848758	124.5560	7.140917	32.77800
1846	5.30388	3.1848633	124.3409	7.140919	32.77796
1847	5.30393	3.1853289	124.1353	7.140659	32.78333
1848	5.30398	3.1853599	123.9356	7.140631	32.78373
1849	5.30403	3.1854840	123.7298	7.140553	32.78520
1850	5.30398	3.1853039	123.5211	7.140651	32.78330
1851	5.30393	3.1853907	123.3065	7.140606	32.78445
1852	5.30393	3.1850554	123.1067	7.140781	32.78072
1853	5.30388	3.1848132	122.9069	7.140912	32.77811
1854	5.30398	3.1847014	122.6951	7.140954	32.77684
1855	5.30398	3.1844220	122.4863	7.141099	32.77376
1856	5.30363	3.1840557	122.2744	7.141334	32.77003
1857	5.30203	3.1836025	122.0779	7.141773	32.76653
1858	5.30048	3.1828453	121.8781	7.142369	32.75951
1859	5.29909	3.1826280	121.6663	7.142656	32.75850
1860	5.29769	3.1818150	121.4518	7.143263	32.75071
1861	5.29639	3.1801582	121.2491	7.144309	32.73318
1862	5.29499	3.1784769	121.0432	7.145380	32.71548
1863	5.29395	3.1776332	120.8345	7.145959	32.70699
1864	5.29305	3.1771804	120.6228	7.146310	32.70281
1865	5.29240	3.1767214	120.4050	7.146633	32.69832
1866	5.29150	3.1752392	120.1902	7.147535	32.68241
1867	5.29065	3.1743959	119.9875	7.148089	32.67372
1868	5.28990	3.1739246	119.7817	7.148432	32.66918
1869	5.28941	3.1737262	119.5549	7.148596	32.66752
1870	5.28886	3.1732425	119.3430	7.148919	32.66264
1871	5.28841	3.1727589	119.1282	7.149230	32.65768
1872	5.28806	3.1723684	118.9162	7.149478	32.65367
1873	5.28776	3.1717671	118.7228	7.149834	32.64720
1874	5.28716	3.1715005	118.5139	7.150048	32.64485
1875	5.28701	3.1713393	118.3021	7.150148	32.64327
1876	5.28686	3.1711595	118.0723	7.150258	32.64148
1877	5.28661	3.1710106	117.8424	7.150364	32.64014
1878	5.28636	3.1702235	117.6393	7.150812	32.63151
1879	5.28611	3.1700747	117.4337	7.150919	32.63016
1880	5.28601	3.1701924	117.2280	7.150863	32.63170
1881	5.28591	3.1699507	117.0193	7.151001	32.62915
1882	5.28556	3.1695602	116.8135	7.151249	32.62514
1883	5.28541	3.1693805	116.6138	7.151360	32.62333
1884	5.28512	3.1691945	116.4112	7.151493	32.62161
1885	5.28492	3.1690148	116.1961	7.151609	32.61986
1886	5.28432	3.1688040	115.9785	7.151793	32.61815
1887	5.28327	3.1681101	115.7699	7.152292	32.61136
1888	5.28212	3.1677817	115.5702	7.152609	32.60883
1889	5.28088	3.1674161	115.3521	7.152958	32.60599
1890	5.27943	3.1669328	115.1372	7.153395	32.60199
1891	5.27828	3.1664063	114.9347	7.153818	32.59721
1892	5.27763	3.1659974	114.7290	7.154114	32.59328
1893	5.27768	3.1657558	114.5113	7.154232	32.59059
1894	5.27803	3.1656071	114.2902	7.154263	32.58866
1895	5.27893	3.1653035	114.0904	7.154307	32.58443
1896	5.28068	3.1649752	113.8848	7.154257	32.57909
1897	5.28297	3.1646221	113.6791	7.154151	32.57293
1898	5.28522	3.1644610	113.4793	7.153948	32.56901
1899	5.28691	3.1643742	113.2674	7.153775	32.56648
1900	5.28841	3.1641636	113.0615	7.153693	32.56273
1901	5.28995	3.1639777	112.8560	7.153592	32.55921
1902	5.29115	3.1638910	112.6592	7.153482	32.55716
1903	5.29215	3.1639528	112.4445	7.153318	32.55700
1904	5.29295	3.1639218	112.2295	7.153228	32.55598
1905	5.29335	3.1637112	112.0270	7.153286	32.55329
1906	5.29390	3.1635873	111.8303	7.153278	32.55144
1907	5.29425	3.1635872	111.6184	7.153229	32.55121
1908	5.29449	3.1636676	111.4158	7.153149	32.55198
1909	5.29464	3.1635561	111.2010	7.153185	32.55067
1910	5.29464	3.1635560	110.9890	7.153180	32.55078
1911	5.29474	3.1634074	110.7894	7.153242	32.54909
1912	5.29504	3.1633763	110.5804	7.153216	32.54855
1913	5.29519	3.1634444	110.3717	7.153156	32.54928
1914	5.29549	3.1634072	110.1540	7.153133	32.54867
1915	5.29564	3.1633762	109.9479	7.153126	32.54828
1916	5.29594	3.1632275	109.7607	7.153163	32.54639
1917	5.29629	3.1632584	109.5459	7.153097	32.54651
1918	5.29654	3.1634131	109.3401	7.152978	32.54813
1919	5.29659	3.1632273	109.1220	7.153066	32.54607
1920	5.29669	3.1631034	108.9104	7.153115	32.54467
1921	5.29679	3.1630476	108.7107	7.153127	32.54404
1922	5.29694	3.1630166	108.5020	7.153120	32.54364
1923	5.29694	3.1630722	108.2931	7.153085	32.54438
1924	5.29684	3.1629979	108.0784	7.153133	32.54374
1925	5.29709	3.1629235	107.8544	7.153136	32.54276
1926	5.29719	3.1627129	107.6397	7.153231	32.54037
1927	5.29739	3.1625024	107.4457	7.153314	32.53787
1928	5.29744	3.1624713	107.2466	7.153320	32.53757
1929	5.29754	3.1624589	107.0282	7.153308	32.53744
1930	5.29759	3.1622607	106.8226	7.153403	32.53524
1931	5.29769	3.1620192	106.6346	7.153516	32.53248
1932	5.29789	3.1619634	106.4262	7.153516	32.53176
1933	5.29804	3.1620191	106.2174	7.153462	32.53235
1934	5.29799	3.1618518	105.9995	7.153553	32.53060
1935	5.29814	3.1616599	105.7998	7.153632	32.52837
1936	5.29824	3.1615360	105.5912	7.153681	32.52696
1937	5.29824	3.1614802	105.3821	7.153706	32.52643
1938	5.29824	3.1613254	105.1734	7.153784	32.52477
1939	5.29844	3.1611829	104.9616	7.153830	32.52306
1940	5.29854	3.1609353	104.7437	7.153945	32.52025
1941	5.29869	3.1607866	104.5440	7.154001	32.51851
