Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
112	13.08017	3.5629970	0.6869	6.105872	29.90013
113	13.05972	3.5666094	0.6839	6.106610	29.94991
114	13.03728	3.5684715	0.6839	6.108163	29.98500
115	13.01807	3.5703857	0.6838	6.109378	30.01805
116	13.00354	3.5721641	0.6839	6.110178	30.04615
117	12.99298	3.5699578	0.6778	6.112002	30.03393
118	12.98205	3.5682191	0.6778	6.113697	30.02634
119	12.96766	3.5700619	0.6687	6.114462	30.05497
120	12.95049	3.5711068	0.6839	6.115785	30.07835
121	12.92272	3.5721975	0.6869	6.118138	30.11062
122	12.88964	3.5741711	0.6900	6.120700	30.15542
123	12.86458	3.5769049	0.6930	6.122200	30.20103
124	12.84431	3.5763726	0.6870	6.124392	30.21222
125	12.81988	3.5713744	0.6809	6.128594	30.18484
126	12.78973	3.5715695	0.6840	6.131508	30.21075
127	12.75677	3.5708495	0.6810	6.135030	30.23036
128	12.73771	3.5712456	0.6900	6.136777	30.24934
129	12.73102	3.5733875	0.6870	6.136671	30.27485
130	12.73681	3.5762765	0.6900	6.135059	30.29738
131	12.75183	3.5784843	0.6871	6.132780	30.30609
132	12.75883	3.5735105	0.6839	6.133872	30.25372
133	12.75653	3.5726602	0.6748	6.134404	30.24757
134	12.75889	3.5726602	0.6840	6.134171	30.24568
135	12.77379	3.5740037	0.6870	6.132213	30.24637
136	12.79342	3.5763473	0.6931	6.129432	30.25268
137	12.81082	3.5787824	0.6902	6.126839	30.26162
138	12.82441	3.5773989	0.6871	6.125991	30.23775
139	12.83016	3.5743925	0.6871	6.126498	30.20495
140	12.83312	3.5746003	0.6811	6.126131	30.20453
141	12.83602	3.5754572	0.6810	6.125538	30.21026
142	12.84007	3.5761779	0.6902	6.124880	30.21378
143	12.84612	3.5752883	0.6902	6.124600	30.20060
144	12.85199	3.5741846	0.6902	6.124414	30.18557
145	12.85629	3.5744637	0.6871	6.123890	30.18476
146	12.85992	3.5755219	0.6933	6.123154	30.19178
147	12.86482	3.5771971	0.6933	6.122072	30.20357
148	12.87214	3.5791129	0.6842	6.120665	30.21569
149	12.87940	3.5785218	0.6841	6.120159	30.20435
150	12.88328	3.5764111	0.6933	6.120529	30.18148
151	12.88425	3.5765085	0.6902	6.120399	30.18162
152	12.88582	3.5778592	0.6903	6.119762	30.19302
153	12.89000	3.5807626	0.6903	6.118315	30.21689
154	12.90145	3.5843883	0.6933	6.115894	30.24171
155	12.91145	3.5842907	0.6873	6.114944	30.23281
156	12.91866	3.5859090	0.6843	6.113657	30.24221
157	12.95201	3.5838613	0.6904	6.111103	30.19644
158	13.01527	3.5823075	0.6933	6.105430	30.13157
159	13.10319	3.5815853	0.6964	6.097048	30.05512
160	13.19394	3.5793820	0.6964	6.088922	29.96296
161	13.25035	3.5767640	0.6995	6.084314	29.89428
162	13.28303	3.5758416	0.6903	6.081438	29.86009
163	13.32910	3.5749191	0.6874	6.077253	29.81547
164	13.36442	3.5751849	0.6845	6.073707	29.79032
165	13.37369	3.5757756	0.6935	6.072597	29.78854
166	13.37056	3.5752497	0.6996	6.073085	29.78612
167	13.35933	3.5741657	0.6995	6.074560	29.78486
168	13.34032	3.5733415	0.7057	6.076706	29.79209
169	13.33075	3.5734065	0.6936	6.077619	29.80017
170	13.34498	3.5724457	0.6845	6.076562	29.78017
171	13.36301	3.5718614	0.6906	6.075003	29.76068
172	13.37694	3.5716341	0.6967	6.073720	29.74771
173	13.38462	3.5728801	0.6966	6.072537	29.75324
174	13.39118	3.5752820	0.7058	6.071060	29.77031
175	13.40949	3.5754635	0.6998	6.069210	29.75772
176	13.42866	3.5746907	0.6908	6.067607	29.73564
177	13.44385	3.5713996	0.6876	6.067266	29.69345
178	13.46673	3.5660145	0.6907	6.066899	29.62600
179	13.49492	3.5652553	0.6938	6.064409	29.59715
180	13.52647	3.5673630	0.7030	6.060604	29.59214
181	13.55896	3.5688028	0.7029	6.056940	29.58025
182	13.59279	3.5602035	0.7030	6.056607	29.47510
183	13.63146	3.5395046	0.6908	6.059952	29.25545
184	13.66412	3.5223380	0.6879	6.062652	29.07330
185	13.69432	3.5117712	0.6848	6.063316	28.95375
186	13.73491	3.5044629	0.6939	6.061837	28.85639
187	13.77256	3.4952105	0.7031	6.061304	28.74371
188	13.80062	3.4891568	0.7030	6.060613	28.66756
189	13.82435	3.4903141	0.7000	6.057888	28.66040
190	13.84536	3.4958532	0.6940	6.053941	28.69514
191	13.85892	3.5026902	0.6820	6.050287	28.74724
192	13.86589	3.5074831	0.6819	6.047976	28.78565
193	13.84891	3.5132847	0.6942	6.047663	28.85120
194	13.82305	3.5184191	0.6971	6.048443	28.91742
195	13.79447	3.5124406	0.7062	6.053275	28.88440
196	13.75673	3.5045270	0.7033	6.059673	28.84056
197	13.72759	3.5051072	0.6972	6.062334	28.86777
198	13.71166	3.5068791	0.6881	6.063290	28.89595
199	13.69736	3.5115133	0.6972	6.063106	28.94910
200	13.68262	3.5178401	0.6973	6.062382	29.01811
201	13.67309	3.5149891	0.7064	6.064295	28.99923
202	13.66634	3.5083553	0.7004	6.067234	28.94363
