"Date"	"Time"	"Temperature....C."
"07/10/13"	"10:29:57.0"	22.51
"07/10/13"	"11:29:57.0"	17.79
"07/10/13"	"12:29:57.0"	17.95
"07/10/13"	"13:29:57.0"	5.3
"07/10/13"	"14:29:57.0"	5.3
"07/10/13"	"15:29:57.0"	5.3
"07/10/13"	"16:29:57.0"	5.3
"07/10/13"	"17:29:57.0"	5.3
"07/10/13"	"18:29:57.0"	5.3
"07/10/13"	"19:29:57.0"	5.3
"07/10/13"	"20:29:57.0"	5.3
"07/10/13"	"21:29:57.0"	5.3
"07/10/13"	"22:29:57.0"	5.3
"07/10/13"	"23:29:57.0"	5.3
"07/11/13"	"00:29:57.0"	5.3
"07/11/13"	"01:29:57.0"	5.3
"07/11/13"	"02:29:57.0"	5.3
"07/11/13"	"03:29:57.0"	5.3
"07/11/13"	"04:29:57.0"	5.3
"07/11/13"	"05:29:57.0"	5.3
"07/11/13"	"06:29:57.0"	5.3
"07/11/13"	"07:29:57.0"	5.3
"07/11/13"	"08:29:57.0"	11.83
"07/11/13"	"09:29:57.0"	11.83
"07/11/13"	"10:29:57.0"	12.29
"07/11/13"	"11:29:57.0"	12.45
"07/11/13"	"12:29:57.0"	12.29
"07/11/13"	"13:29:57.0"	12.61
"07/11/13"	"14:29:57.0"	12.92
"07/11/13"	"15:29:57.0"	5.77
"07/11/13"	"16:29:57.0"	5.14
"07/11/13"	"17:29:57.0"	5.14
"07/11/13"	"18:29:57.0"	5.14
"07/11/13"	"19:29:57.0"	5.14
"07/11/13"	"20:29:57.0"	5.14
"07/11/13"	"21:29:57.0"	5.14
"07/11/13"	"22:29:57.0"	5.3
"07/11/13"	"23:29:57.0"	5.3
"07/12/13"	"00:29:57.0"	5.3
"07/12/13"	"01:29:57.0"	5.14
"07/12/13"	"02:29:57.0"	5.14
"07/12/13"	"03:29:57.0"	5.14
"07/12/13"	"04:29:57.0"	5.14
"07/12/13"	"05:29:57.0"	5.14
"07/12/13"	"06:29:57.0"	5.14
"07/12/13"	"07:29:57.0"	5.14
"07/12/13"	"08:29:57.0"	5.3
"07/12/13"	"09:29:57.0"	5.3
"07/12/13"	"10:29:57.0"	5.3
"07/12/13"	"11:29:57.0"	13.07
"07/12/13"	"12:29:57.0"	13.23
"07/12/13"	"13:29:57.0"	13.07
"07/12/13"	"14:29:57.0"	13.69
"07/12/13"	"15:29:57.0"	12.61
"07/12/13"	"16:29:57.0"	13.53
"07/12/13"	"17:29:57.0"	13.84
"07/12/13"	"18:29:57.0"	13.99
"07/12/13"	"19:29:57.0"	14.15
"07/12/13"	"20:29:57.0"	13.53
"07/12/13"	"21:29:57.0"	13.84
"07/12/13"	"22:29:57.0"	13.53
"07/12/13"	"23:29:57.0"	13.38
"07/13/13"	"00:29:57.0"	13.23
"07/13/13"	"01:29:57.0"	13.23
"07/13/13"	"02:29:57.0"	12.92
"07/13/13"	"03:29:57.0"	12.45
"07/13/13"	"04:29:57.0"	12.29
"07/13/13"	"05:29:57.0"	12.45
"07/13/13"	"06:29:57.0"	12.45
"07/13/13"	"07:29:57.0"	12.92
"07/13/13"	"08:29:57.0"	13.38
"07/13/13"	"09:29:57.0"	13.53
"07/13/13"	"10:29:57.0"	14.62
"07/13/13"	"11:29:57.0"	15.41
"07/13/13"	"12:29:57.0"	19.08
"07/13/13"	"13:29:57.0"	6.4
"07/13/13"	"14:29:57.0"	6.08
"07/13/13"	"15:29:57.0"	6.24
"07/13/13"	"16:29:57.0"	6.24
"07/13/13"	"17:29:57.0"	6.4
"07/13/13"	"18:29:57.0"	6.4
"07/13/13"	"19:29:57.0"	6.24
"07/13/13"	"20:29:57.0"	6.08
"07/13/13"	"21:29:57.0"	6.24
"07/13/13"	"22:29:57.0"	6.4
"07/13/13"	"23:29:57.0"	6.4
"07/14/13"	"00:29:57.0"	6.4
"07/14/13"	"01:29:57.0"	6.24
"07/14/13"	"02:29:57.0"	6.24
"07/14/13"	"03:29:57.0"	6.4
"07/14/13"	"04:29:57.0"	6.24
"07/14/13"	"05:29:57.0"	6.4
"07/14/13"	"06:29:57.0"	6.4
"07/14/13"	"07:29:57.0"	6.24
