"Date"	"Time"	"Temperature....C."
"07/16/13"	"10:33:31.0"	13.21
"07/16/13"	"11:33:31.0"	13.67
"07/16/13"	"12:33:31.0"	14.44
"07/16/13"	"13:33:31.0"	14.92
"07/16/13"	"14:33:31.0"	14.92
"07/16/13"	"15:33:31.0"	20.06
"07/16/13"	"16:33:31.0"	5.27
"07/16/13"	"17:33:31.0"	5.12
"07/16/13"	"18:33:31.0"	5.12
"07/16/13"	"19:33:31.0"	5.12
"07/16/13"	"20:33:31.0"	5.12
"07/16/13"	"21:33:31.0"	5.12
"07/16/13"	"22:33:31.0"	5.12
"07/16/13"	"23:33:31.0"	5.12
"07/17/13"	"00:33:31.0"	5.12
"07/17/13"	"01:33:31.0"	5.12
"07/17/13"	"02:33:31.0"	5.12
"07/17/13"	"03:33:31.0"	5.27
"07/17/13"	"04:33:31.0"	5.12
"07/17/13"	"05:33:31.0"	5.12
"07/17/13"	"06:33:31.0"	5.12
"07/17/13"	"07:33:31.0"	5.12
"07/17/13"	"08:33:31.0"	5.12
"07/17/13"	"09:33:31.0"	5.12
"07/17/13"	"10:33:31.0"	13.82
"07/17/13"	"11:33:31.0"	17.31
