Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
94	17.46312	0.0062477	-0.0549	6.686636	0.03806
95	17.46216	0.0062260	-0.0519	6.686775	0.03795
96	17.46057	0.0062013	-0.0458	6.687001	0.03782
97	17.45919	0.0061796	-0.0459	6.687198	0.03771
98	17.45781	0.0061116	-0.0519	6.687404	0.03735
99	17.19410	0.5590738	-0.0066	6.581002	3.61135
100	14.98551	1.4764358	0.0723	6.596502	10.84593
101	12.85683	2.9779506	0.1783	6.337760	24.66409
102	11.32846	2.9852069	0.2751	6.505828	25.76055
103	10.26113	3.0087797	0.3871	6.619286	26.75250
104	9.51444	3.0182461	0.4901	6.702981	27.40598
105	9.06033	3.0341238	0.5900	6.750079	27.91730
106	8.78887	3.0425294	0.6869	6.778842	28.21727
107	8.62451	3.0517184	0.7808	6.794469	28.44302
108	8.53087	3.0587528	0.8777	6.802564	28.59103
109	8.48956	3.0695137	0.9504	6.802675	28.73575
110	8.52375	3.0871440	0.9745	6.790619	28.89018
111	8.71452	3.0973566	0.9685	6.763294	28.83988
112	8.97826	3.1079750	0.9685	6.727381	28.73494
113	9.16467	3.0978558	0.9625	6.709869	28.48219
114	9.25257	3.0950297	0.9594	6.700771	28.38355
115	9.18189	3.0890332	0.9716	6.711685	28.37887
116	9.02271	3.0858814	0.9716	6.731842	28.47370
117	8.87583	3.0839939	0.9746	6.750075	28.57221
118	8.75846	3.0864116	0.9776	6.762948	28.69168
119	8.67317	3.0905173	0.9776	6.771269	28.80311
120	8.61375	3.0923163	0.9746	6.777545	28.87008
121	8.56467	3.0945393	0.9806	6.782400	28.93314
122	8.52613	3.0990356	0.9747	6.784975	29.01125
123	8.49635	3.1039339	0.9565	6.786317	29.08646
124	8.46913	3.0999516	0.9595	6.791366	29.06762
125	8.44101	3.0913359	0.9534	6.798626	29.00145
126	8.41668	3.0879855	0.9535	6.803060	28.98671
127	8.40479	3.0894031	0.9686	6.803843	29.01120
128	8.40732	3.0967271	0.9777	6.800218	29.08513
129	8.43024	3.1152720	0.9747	6.789074	29.25869
130	8.49910	3.1252622	0.9656	6.776366	29.30520
131	8.54847	3.1163974	0.9625	6.774495	29.17250
