Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
112	9.63516	3.2807533	0.8026	6.577279	29.95226
113	9.63954	3.2842702	0.8026	6.575299	29.98417
114	9.65031	3.2875057	0.7845	6.572722	30.00790
115	9.65481	3.2848668	0.7815	6.573335	29.97747
116	9.64398	3.2788384	0.7905	6.577100	29.92556
117	9.63022	3.2780539	0.7996	6.578977	29.92909
118	9.62261	3.2802826	0.8116	6.578886	29.95795
119	9.62672	3.2843332	0.8148	6.576709	29.99550
120	9.64593	3.2871287	0.8057	6.573373	30.00774
121	9.66065	3.2895543	0.7876	6.570699	30.01998
122	9.65892	3.2794032	0.7785	6.575185	29.91884
123	9.64376	3.2706941	0.7966	6.580572	29.84344
124	9.63144	3.2734793	0.8270	6.580778	29.88181
125	9.63999	3.2939932	0.8300	6.571133	30.08211
126	9.64632	3.2974651	0.8028	6.568956	30.11195
127	9.69221	3.2967726	0.7664	6.564121	30.06657
128	9.75347	3.2844574	0.7694	6.562467	29.89129
129	9.77536	3.2757930	0.7845	6.563664	29.78587
130	9.75180	3.2759187	0.7997	6.566249	29.80661
131	9.72825	3.2864366	0.8058	6.564454	29.93217
132	9.72302	3.2968981	0.8149	6.560630	30.04208
133	9.71801	3.2980369	0.8058	6.560708	30.05776
134	9.71891	3.2997421	0.7967	6.559890	30.07424
135	9.75770	3.2963631	0.7816	6.556986	30.00778
136	9.77040	3.2855252	0.7816	6.560126	29.88799
137	9.75536	3.2762638	0.7908	6.565704	29.80714
138	9.72363	3.2741057	0.8059	6.570168	29.81165
139	9.70300	3.2840811	0.8150	6.568272	29.92940
140	9.71201	3.2930806	0.8090	6.563468	30.01274
141	9.71095	3.2937723	0.7908	6.563294	30.02061
142	9.69149	3.2923577	0.7756	6.566066	30.02257
143	9.68421	3.2840499	0.7816	6.570388	29.94474
144	9.67843	3.2785869	0.7968	6.573344	29.89437
145	9.67120	3.2892085	0.8211	6.569665	30.00767
146	9.67976	3.2974963	0.8211	6.565207	30.08426
147	9.67954	3.3013977	0.8090	6.563584	30.12389
148	9.71863	3.2997735	0.7907	6.559908	30.07479
149	9.75414	3.2946586	0.7908	6.558101	29.99356
150	9.77235	3.2901503	0.7878	6.557964	29.93297
151	9.76377	3.2887362	0.7969	6.559517	29.92584
152	9.73899	3.2930489	0.8061	6.560468	29.98993
153	9.73510	3.3033422	0.8030	6.556568	30.09704
154	9.74428	3.3051239	0.7939	6.554795	30.10735
155	9.74306	3.3052750	0.7879	6.554868	30.10990
156	9.76310	3.3018877	0.7910	6.554061	30.05898
157	9.78143	3.3022967	0.7971	6.551848	30.04781
158	9.79804	3.3063198	0.7969	6.548311	30.07450
159	9.81901	3.3079319	0.7909	6.545304	30.07325
160	9.82860	3.3092421	0.7940	6.543690	30.07844
161	9.83971	3.3082215	0.7970	6.542884	30.05891
162	9.84925	3.3053684	0.8091	6.543019	30.02224
163	9.85260	3.3088198	0.8122	6.541202	30.05418
164	9.86723	3.3145604	0.8001	6.537178	30.09974
