Scan Count	Temperature [ITS-90, deg C]	Conductivity [S/m]	Depth [salt water, m]	Oxygen Saturation, Weiss [ml/l]	Salinity, Practical [PSU]
1113	5.75135	3.0657987	156.6214	7.147747	30.99400
1114	5.74974	3.0657498	156.8667	7.147985	30.99482
1115	5.74641	3.0654501	157.1177	7.148574	30.99440
1116	5.74147	3.0651382	157.3689	7.149378	30.99533
1117	5.73653	3.0649242	157.6325	7.150130	30.99734
1118	5.73209	3.0648937	157.9018	7.150722	31.00095
1119	5.72821	3.0646491	158.1893	7.151355	31.00164
1120	5.72549	3.0644596	158.4889	7.151810	31.00187
1121	5.72317	3.0646187	158.7671	7.152031	31.00565
1122	5.72171	3.0647228	159.0336	7.152170	31.00803
1123	5.72090	3.0647413	159.2849	7.152269	31.00886
1124	5.72045	3.0646068	159.5451	7.152404	31.00765
1125	5.72020	3.0645579	159.8056	7.152468	31.00721
1126	5.72005	3.0645213	160.0809	7.152512	31.00681
1127	5.71970	3.0644602	160.3499	7.152596	31.00633
1128	5.71828	3.0643685	160.6106	7.152831	31.00647
1129	5.71612	3.0642585	160.8767	7.153173	31.00711
1130	5.71355	3.0641852	161.1280	7.153547	31.00853
1131	5.71143	3.0640568	161.3883	7.153892	31.00891
1132	5.70957	3.0639407	161.6607	7.154199	31.00919
1133	5.70780	3.0638796	161.9302	7.154463	31.01000
1134	5.70639	3.0638797	162.2025	7.154650	31.01117
1135	5.70569	3.0638492	162.4868	7.154763	31.01134
1136	5.70508	3.0638248	162.7564	7.154860	31.01150
1137	5.70448	3.0638188	163.0288	7.154947	31.01186
1138	5.70388	3.0637088	163.2954	7.155088	31.01106
1139	5.70277	3.0636660	163.5734	7.155259	31.01147
1140	5.70186	3.0636784	163.8427	7.155375	31.01231
1141	5.70126	3.0636479	164.1032	7.155475	31.01240
1142	5.70070	3.0635439	164.3724	7.155606	31.01162
1143	5.69879	3.0632137	164.6448	7.156032	31.00955
1144	5.69602	3.0631466	164.9234	7.156429	31.01121
1145	5.69315	3.0630671	165.1898	7.156846	31.01284
1146	5.69078	3.0629633	165.4741	7.157212	31.01371
1147	5.68836	3.0628349	165.7587	7.157596	31.01436
1148	5.68494	3.0625720	166.0368	7.158181	31.01443
1149	5.68041	3.0623826	166.3034	7.158869	31.01635
1150	5.67563	3.0621992	166.5696	7.159587	31.01857
1151	5.67084	3.0619853	166.8392	7.160321	31.02044
1152	5.66631	3.0617897	167.1114	7.161013	31.02228
1153	5.66183	3.0615819	167.3718	7.161705	31.02395
1154	5.65645	3.0610928	167.6500	7.162661	31.02329
1155	5.64966	3.0606955	167.9376	7.163752	31.02494
1156	5.64262	3.0602798	168.2492	7.164885	31.02661
1157	5.63547	3.0599620	168.5368	7.165979	31.02948
1158	5.62828	3.0599316	168.8095	7.166928	31.03563
1159	5.62225	3.0597300	169.0663	7.167818	31.03880
1160	5.61707	3.0595344	169.3328	7.168594	31.04125
1161	5.61300	3.0593817	169.6053	7.169206	31.04316
1162	5.60928	3.0591679	169.8804	7.169805	31.04405
1163	5.60511	3.0588929	170.1503	7.170494	31.04468
1164	5.60018	3.0586485	170.4285	7.171264	31.04634
1165	5.59581	3.0585691	170.7068	7.171876	31.04934
1166	5.59199	3.0583675	170.9823	7.172482	31.05047
1167	5.58812	3.0581536	171.2545	7.173100	31.05150
1168	5.58436	3.0579031	171.5271	7.173725	31.05203
1169	5.58004	3.0576037	171.7935	7.174447	31.05252
1170	5.57466	3.0572677	172.0748	7.175324	31.05357
1171	5.56919	3.0570233	172.3624	7.176167	31.05573
1172	5.56407	3.0568034	172.6346	7.176951	31.05785
1173	5.55930	3.0563818	172.9100	7.177796	31.05738
1174	5.55488	3.0563392	173.1976	7.178396	31.06084
1175	5.55081	3.0562599	173.4728	7.178969	31.06357
1176	5.54750	3.0561377	173.7483	7.179468	31.06512
1177	5.54444	3.0559667	174.0298	7.179961	31.06589
1178	5.54178	3.0558324	174.3051	7.180382	31.06670
1179	5.53942	3.0557897	174.5749	7.180716	31.06827
1180	5.53701	3.0556187	174.8318	7.181123	31.06845
1181	5.53295	3.0551544	175.0950	7.181901	31.06685
1182	5.52718	3.0547024	175.3643	7.182893	31.06697
1183	5.52056	3.0541709	175.6340	7.184037	31.06697
1184	5.51354	3.0537251	175.9305	7.185189	31.06829
1185	5.50752	3.0533342	176.2784	7.186183	31.06929
1186	5.50100	3.0527479	176.6323	7.187346	31.06854
1187	5.49383	3.0526931	176.9438	7.188310	31.07439
1188	5.48832	3.0526688	177.2135	7.189043	31.07908
1189	5.48371	3.0524123	177.4886	7.189783	31.08032
1190	5.47970	3.0523453	177.7705	7.190344	31.08314
1191	5.47499	3.0515269	178.0878	7.191397	31.07812
1192	5.46692	3.0510446	178.4149	7.192706	31.07999
1193	5.45726	3.0509165	178.7296	7.194035	31.08733
1194	5.44859	3.0507884	179.0111	7.195233	31.09376
1195	5.44248	3.0505504	179.3016	7.196158	31.09659
1196	5.43763	3.0503795	179.5858	7.196886	31.09902
1197	5.43337	3.0503674	179.8676	7.197451	31.10268
1198	5.42982	3.0503248	180.1519	7.197941	31.10536
1199	5.42742	3.0502760	180.4272	7.198285	31.10690
1200	5.42587	3.0502700	180.6996	7.198496	31.10814
1201	5.42467	3.0502396	180.9750	7.198674	31.10877
1202	5.42381	3.0502152	181.2504	7.198803	31.10916
1203	5.42291	3.0501237	181.5167	7.198975	31.10883
1204	5.42151	3.0498185	181.8014	7.199326	31.10655
1205	5.41526	3.0482432	182.0855	7.200985	31.09443
1206	5.40235	3.0479931	182.3703	7.202801	31.10342
1207	5.39255	3.0474072	182.6575	7.204395	31.10575
1208	5.37860	3.0458875	182.9418	7.207027	31.10137
1209	5.36365	3.0460830	183.2296	7.208873	31.11729
1210	5.35596	3.0464983	183.5048	7.209658	31.12898
1211	5.35391	3.0464007	183.7800	7.209983	31.12965
