Date Time	Temperature  (*C)
07/14/11 	08:13:05.0	5.05
07/14/11 	09:13:05.0	13.43
07/14/11 	10:13:05.0	13.43
07/14/11 	11:13:05.0	13.43
07/14/11 	12:13:05.0	13.73
07/14/11 	13:13:05.0	14.83
07/14/11 	14:13:05.0	14.20
07/14/11 	15:13:05.0	5.21
07/14/11 	16:13:05.0	5.21
07/14/11 	17:13:05.0	5.36
07/14/11 	18:13:05.0	5.21
07/14/11 	19:13:05.0	5.05
07/14/11 	20:13:05.0	5.05
07/14/11 	21:13:05.0	5.21
07/14/11 	22:13:05.0	5.21
07/14/11 	23:13:05.0	5.05
07/15/11 	00:13:05.0	5.21
07/15/11 	01:13:05.0	5.21
07/15/11 	02:13:05.0	5.21
07/15/11 	03:13:05.0	5.36
07/15/11 	04:13:05.0	5.36
07/15/11 	05:13:05.0	5.36
07/15/11 	06:13:05.0	5.21
07/15/11 	07:13:05.0	5.21
07/15/11 	08:13:05.0	5.21
07/15/11 	09:13:05.0	5.21
07/15/11 	10:13:05.0	13.12
