Salinity, Practical [PSU]	Temperature [ITS-90, deg C]	Depth [salt water, m]
22.72297	15.50846	0.8387
22.71936	15.50475	0.8387
22.71664	15.50207	0.8387
22.71343	15.50168	0.8478
22.71470	15.50116	0.8448
22.70708	15.50051	0.8447
22.67781	15.50071	0.8448
22.64853	15.50221	0.8448
22.63589	15.50318	0.8387
22.62947	15.50449	0.8358
22.62613	15.50638	0.8418
22.62253	15.50820	0.8448
22.60038	15.50938	0.8419
22.56655	15.51088	0.8419
22.55391	15.51055	0.8418
22.54850	15.51179	0.8419
22.55022	15.51361	0.8358
22.54570	15.51492	0.8359
22.54595	15.51537	0.8328
22.55732	15.51577	0.8389
22.55530	15.51661	0.8449
22.54790	15.51805	0.8450
22.53673	15.51935	0.8541
22.52607	15.51987	0.8511
22.51708	15.51961	0.8541
22.51200	15.51948	0.8571
22.49676	15.51935	0.8541
22.48590	15.51935	0.8542
22.48234	15.51870	0.8451
22.47631	15.51935	0.8420
22.47354	15.52072	0.8421
22.47289	15.52170	0.8451
22.47147	15.52222	0.8421
22.47517	15.52261	0.8451
22.47650	15.52287	0.8513
22.46366	15.52294	0.8512
22.44102	15.52405	0.8452
22.43056	15.52326	0.8362
22.42465	15.52281	0.8422
22.42261	15.52255	0.8483
22.42690	15.52144	0.8513
22.43164	15.52000	0.8453
22.43434	15.51857	0.8483
22.43936	15.51681	0.8452
22.43778	15.51440	0.8453
22.43374	15.51198	0.8543
22.43117	15.50996	0.8484
22.42983	15.50846	0.8484
22.42935	15.50670	0.8484
22.43240	15.50527	0.8514
22.43667	15.50423	0.8423
22.43926	15.50442	0.8484
22.43777	15.50533	0.8515
22.43150	15.50631	0.8575
22.43050	15.50638	0.8515
22.42987	15.50533	0.8515
22.42916	15.50442	0.8485
22.43065	15.50397	0.8516
22.43271	15.50429	0.8365
22.43579	15.50416	0.8425
22.43822	15.50410	0.8425
22.43937	15.50377	0.8456
22.44248	15.50351	0.8486
22.44565	15.50357	0.8456
22.44713	15.50357	0.8487
22.44726	15.50325	0.8486
22.44169	15.50318	0.8608
22.43178	15.50286	0.8517
22.42567	15.50240	0.8517
22.42595	15.50227	0.8517
22.42918	15.50188	0.8518
22.42806	15.50116	0.8548
22.42166	15.50032	0.8518
22.41918	15.49947	0.8549
22.41838	15.49836	0.8518
22.41684	15.49712	0.8519
22.41686	15.49647	0.8487
22.41777	15.49549	0.8519
22.41800	15.49465	0.8459
22.41909	15.49406	0.8489
22.41960	15.49360	0.8489
22.41954	15.49282	0.8429
22.41933	15.49210	0.8550
22.41973	15.49158	0.8550
22.41975	15.49119	0.8520
22.41988	15.49132	0.8521
22.42017	15.49126	0.8521
22.41999	15.49113	0.8520
22.41912	15.49087	0.8522
22.41939	15.49048	0.8490
22.41810	15.49015	0.8521
22.41746	15.48956	0.8521
22.42247	15.48891	0.8522
22.42612	15.48813	0.8492
22.42651	15.48683	0.8492
22.42501	15.48533	0.8431
22.42468	15.48376	0.8493
22.42505	15.48220	0.8462
22.42671	15.48018	0.8462
22.43056	15.47816	0.8492
22.43690	15.47588	0.8493
22.44417	15.47198	0.8402
22.44892	15.46657	0.8463
22.45158	15.46234	0.8463
22.45202	15.45895	0.8433
22.44872	15.45524	0.8433
22.45647	15.45049	0.8493
22.47074	15.44516	0.8434
22.47600	15.44021	0.8465
22.47774	15.43715	0.8434
22.47649	15.43540	0.8464
22.47325	15.43292	0.8466
22.46949	15.42967	0.8525
22.46641	15.42629	0.8495
22.46939	15.42284	0.8465
22.47341	15.41875	0.8496
22.47669	15.41387	0.8557
22.47994	15.40952	0.8556
22.47986	15.40652	0.8467
22.47608	15.40373	0.8497
22.47735	15.40016	0.8526
22.48356	15.39580	0.8466
22.48643	15.39112	0.8436
22.48749	15.38800	0.8437
22.48880	15.38554	0.8437
22.48812	15.38216	0.8437
22.48626	15.37807	0.8467
22.48943	15.37339	0.8497
22.49759	15.36859	0.8468
22.50386	15.36404	0.8499
22.50741	15.36060	0.8528
22.50979	15.35885	0.8468
22.51125	15.35710	0.8408
22.51299	15.35450	0.8499
22.51402	15.35145	0.8470
22.51090	15.34820	0.8470
22.51207	15.34509	0.8530
22.51960	15.34210	0.8500
22.52741	15.33964	0.8500
22.53254	15.33711	0.8439
22.53495	15.33549	0.8500
22.53754	15.33490	0.8440
22.54014	15.33484	0.8470
22.53356	15.33451	0.8441
22.52210	15.33335	0.8502
22.52089	15.33205	0.8501
22.53023	15.33121	0.8441
22.54096	15.33017	0.8411
22.54598	15.32829	0.8410
22.54634	15.32686	0.8411
22.54371	15.32537	0.8412
22.53950	15.32414	0.8412
22.53213	15.32278	0.8442
22.52611	15.32096	0.8413
22.52288	15.31908	0.8413
22.52120	15.31726	0.8443
22.52136	15.31519	0.8444
22.52078	15.31325	0.8504
22.51462	15.31104	0.8565
22.50547	15.30877	0.8596
22.49988	15.30709	0.8565
22.49115	15.30599	0.8536
22.48376	15.30683	0.8535
22.48042	15.30748	0.8505
22.48019	15.30618	0.8414
22.47693	15.30437	0.8445
22.46955	15.30242	0.8506
22.46450	15.30132	0.8506
22.46012	15.30119	0.8476
22.47181	15.30106	0.8445
22.47835	15.30035	0.8506
22.47984	15.30035	0.8446
22.48058	15.30002	0.8446
22.48024	15.29963	0.8477
22.47935	15.29860	0.8447
22.48692	15.29743	0.8448
22.49774	15.29659	0.8478
22.50409	15.29542	0.8508
22.50707	15.29316	0.8509
22.51547	15.29082	0.8539
22.53143	15.28771	0.8569
22.54481	15.28376	0.8570
22.55486	15.27910	0.8570
22.56319	15.27405	0.8479
22.57195	15.26913	0.8510
22.57837	15.26518	0.8570
22.58285	15.26129	0.8450
22.58816	15.25812	0.8540
22.56938	15.25508	0.8602
22.57453	15.25165	0.8571
22.59119	15.24900	0.8511
22.59353	15.24706	0.8511
22.60049	15.24486	0.8511
22.59766	15.24156	0.8481
22.58722	15.23865	0.8481
22.58350	15.23690	0.8450
22.59747	15.23599	0.8421
22.61296	15.23522	0.8482
22.62265	15.23470	0.8453
22.62096	15.23425	0.8452
22.62986	15.23386	0.8453
22.65565	15.23405	0.8513
22.68305	15.23502	0.8513
22.70083	15.23399	0.8483
22.70894	15.23205	0.8514
22.71323	15.22978	0.8514
22.71988	15.22772	0.8515
22.71299	15.22539	0.8544
22.70131	15.22280	0.8545
22.72502	15.22015	0.8575
22.75486	15.21815	0.8454
22.76977	15.21543	0.8454
22.77950	15.21304	0.8455
22.78675	15.21129	0.8486
22.78229	15.21000	0.8485
22.78157	15.20813	0.8486
22.79511	15.20638	0.8456
22.81952	15.20483	0.8456
22.83740	15.20212	0.8456
22.84823	15.19901	0.8457
22.85547	15.19643	0.8456
22.85726	15.19423	0.8488
22.85626	15.19204	0.8426
22.85689	15.18971	0.8487
22.86137	15.18752	0.8518
22.88096	15.18545	0.8518
